slug,platform,netloc,detail
hillsboroindependentschooldistricttx,legistar,hillsboroindependentschooldistricttx.legistar.com,no public-video event via Web API; no companion Granicus domain
elizabethtownindependentschooldistrict-ky,granicus,elizabethtownindependentschooldistrict-ky.granicus.com,no valid view_id 1-3 on Granicus RSS
muldrowpublicschoolsok,granicus,muldrowpublicschoolsok.granicus.com,no valid view_id 1-3 on Granicus RSS
erin,legistar,erin.legistar.com,no public-video event via Web API; no companion Granicus domain
harrison,legistar,harrison.legistar.com,no public-video event via Web API; no companion Granicus domain
racine,legistar,racine.legistar.com,no public-video event via Web API; no companion Granicus domain
longview,legistar,longview.legistar.com,no public-video event via Web API; no companion Granicus domain
barrie,legistar,barrie.legistar.com,no public-video event via Web API; no companion Granicus domain
russell,legistar,russell.legistar.com,no public-video event via Web API; no companion Granicus domain
scott,legistar,scott.legistar.com,no public-video event via Web API; no companion Granicus domain
harrison,granicus,harrison.granicus.com,no valid view_id 1-3 on Granicus RSS
raymond,legistar,raymond.legistar.com,no public-video event via Web API; no companion Granicus domain
middleton,granicus,middleton.granicus.com,no valid view_id 1-3 on Granicus RSS
cumberland,granicus,cumberland.granicus.com,no valid view_id 1-3 on Granicus RSS
clearwater,granicus,clearwater.granicus.com,no valid view_id 1-3 on Granicus RSS
morrisville,granicus,morrisville.granicus.com,no valid view_id 1-3 on Granicus RSS
james,legistar,james.legistar.com,no public-video event via Web API; no companion Granicus domain
sunnyside,granicus,sunnyside.granicus.com,no valid view_id 1-3 on Granicus RSS
middlesex,legistar,middlesex.legistar.com,no public-video event via Web API; no companion Granicus domain
crowsnestpass,granicus,crowsnestpass.granicus.com,no valid view_id 1-3 on Granicus RSS
houston,granicus,houston.granicus.com,no valid view_id 1-3 on Granicus RSS
pasadena,granicus,pasadena.granicus.com,no valid view_id 1-3 on Granicus RSS
stpaul,granicus,stpaul.granicus.com,no valid view_id 1-3 on Granicus RSS
huron,granicus,huron.granicus.com,no valid view_id 1-3 on Granicus RSS
sudbury,granicus,sudbury.granicus.com,no valid view_id 1-3 on Granicus RSS
