platform,slug,is_real,detail,source_table,name,state
granicus,suttercountyca,True,HTTP 404,us_counties,Sutter County,CA
granicus,dentoncounty,True,HTTP 404,us_counties,Denton County,TX
granicus,fresnocounty,True,HTTP 200,us_counties,Fresno County,CA
granicus,stcroixcountywi,True,HTTP 404,us_counties,St. Croix County,WI
granicus,oregon,True,HTTP 404,us_states,Oregon,OR
legistar,cityofappleton,True,HTTP 200 len=196058,us_school_districts,Appleton,ME
granicus,humboldtunifiedschooldistrict258-ks,True,HTTP 503,us_school_districts,Humboldt Unified School District 258,KS
granicus,charlotte,True,HTTP 404,us_school_districts,Charlotte,ME
granicus,cityofappleton,True,HTTP 404,us_school_districts,Appleton,ME
granicus,winthrop,True,HTTP 200,us_school_districts,Winthrop,ME
granicus,alamogordopublicschools,True,HTTP 404,us_school_districts,Alamogordo Public Schools,NM
granicus,greenville,True,HTTP 404,us_school_districts,Greenville,ME
granicus,auburn,True,HTTP 200,us_school_districts,Auburn,ME
granicus,surry,True,HTTP 200,us_school_districts,Surry,ME
granicus,trenton,True,HTTP 200,us_school_districts,Trenton,ME
granicus,sedgwick,True,HTTP 404,us_school_districts,Sedgwick,ME
granicus,georgetown,True,HTTP 200,us_school_districts,Georgetown,ME
legistar,jonesboro,True,HTTP 200 len=236361,us_school_districts,Jonesboro,ME
legistar,kashiaelementaryschooldistrict,True,HTTP 503 len=48,us_school_districts,Kashia Elementary School District,CA
granicus,ameryschooldistrictwi,True,HTTP 503,us_school_districts,Amery School District,WI
legistar,kashiaelementaryschooldistrict-ca,True,HTTP 503 len=48,us_school_districts,Kashia Elementary School District,CA
legistar,pawpawpublicschooldistrictmi,True,HTTP 503 len=48,us_school_districts,Paw Paw Public School District,MI
granicus,cityofaxtellcommunityschools,True,HTTP 503,us_school_districts,Axtell Community Schools,NE
legistar,pawpawpublicschooldistrict-mi,True,HTTP 503 len=48,us_school_districts,Paw Paw Public School District,MI
granicus,axtellcommunityschools-ne,True,HTTP 503,us_school_districts,Axtell Community Schools,NE
granicus,perrisunionhighschooldistrict912,True,HTTP 503,us_school_districts,Perris Union High School District (9-12),CA
legistar,eaglepointschooldistrict9,True,HTTP 503 len=48,us_school_districts,Eagle Point School District 9,OR
legistar,eaglepointschooldistrict9or,True,HTTP 503 len=48,us_school_districts,Eagle Point School District 9,OR
granicus,cityofperrisunionhighschooldistrict912,True,HTTP 503,us_school_districts,Perris Union High School District (9-12),CA
granicus,perrisunionhighschooldistrict912-ca,True,HTTP 503,us_school_districts,Perris Union High School District (9-12),CA
legistar,marshallpublicschools-mi,True,HTTP 503 len=48,us_school_districts,Marshall Public Schools,MI
granicus,biddeford,True,HTTP 200,us_school_districts,Biddeford,ME
granicus,jonesboro,True,HTTP 200,us_school_districts,Jonesboro,ME
granicus,northkingstownschooldistrict,True,HTTP 200,us_school_districts,North Kingstown School District,RI
legistar,hillsboroindependentschooldistricttx,True,HTTP 503 len=48,us_school_districts,Hillsboro Independent School District,TX
granicus,elizabethtownindependentschooldistrict-ky,True,HTTP 503,us_school_districts,Elizabethtown Independent School District,KY
legistar,northfield,True,HTTP 200 len=262123,us_school_districts,Northfield,ME
granicus,muldrowpublicschoolsok,True,HTTP 503,us_school_districts,Muldrow Public Schools,OK
legistar,erin,True,HTTP 200 len=164250,ca_csd,Erin,ON
granicus,cooper,True,HTTP 404,us_school_districts,Cooper,ME
legistar,hampton,True,HTTP 200 len=221635,ca_csd,Hampton,NB
legistar,harrison,True,HTTP 200 len=176702,ca_csd,Harris,ON
legistar,racine,True,HTTP 200 len=165706,ca_csd,Racine,QC
legistar,cityofracine,True,HTTP 200 len=346003,ca_csd,Racine,QC
legistar,longview,True,HTTP 200 len=173106,ca_csd,Longview,AB
legistar,hudson,True,HTTP 200 len=17955,ca_csd,Hudson,QC
legistar,cityofcleveland,True,HTTP 200 len=186598,ca_csd,Cleveland,QC
granicus,northfield,True,HTTP 404,us_school_districts,Northfield,ME
legistar,barrie,True,HTTP 200 len=171015,ca_csd,Barrie,ON
legistar,wellington,True,HTTP 200 len=268661,ca_csd,Wellington,PE
legistar,russell,True,HTTP 200 len=157645,ca_csd,Russell,ON
legistar,cityofnorthport,True,HTTP 200 len=209081,ca_csd,Northport,PE
granicus,kirkland,True,HTTP 404,ca_csd,Kirkland,QC
legistar,scott,True,HTTP 200 len=156759,ca_csd,Scott,SK
legistar,clearwater,True,HTTP 200 len=449763,ca_csd,Clearwater,BC
granicus,cityofsouthgate,True,HTTP 200,ca_csd,Southgate,ON
granicus,belleplaine,True,HTTP 404,ca_csd,Belle Plaine,SK
granicus,hampton,True,HTTP 404,ca_csd,Hampton,NB
granicus,placentia,True,HTTP 404,ca_csd,Placentia,NL
granicus,dorchester,True,HTTP 200,ca_csd,Dorchester,NB
granicus,harrison,True,HTTP 404,ca_csd,Harris,ON
legistar,osage,True,HTTP 200 len=157174,ca_csd,Osage,SK
legistar,raymond,True,HTTP 200 len=157970,ca_csd,Raymond,AB
granicus,middleton,True,HTTP 200,ca_csd,Middleton,NS
granicus,taylor,True,HTTP 200,ca_csd,Taylor,BC
granicus,cityofracine,True,HTTP 200,ca_csd,Racine,QC
granicus,richmond,True,HTTP 404,ca_csd,Richmond,NB
granicus,raleigh,True,HTTP 404,ca_csd,Raleigh,NL
granicus,lincoln,True,HTTP 200,ca_csd,Lincoln,NB
granicus,imperial,True,HTTP 404,ca_csd,Imperial,SK
legistar,humboldt,True,HTTP 200 len=195964,ca_csd,Humboldt,SK
granicus,hudson,True,HTTP 404,ca_csd,Hudson,QC
granicus,cityofcleveland,True,HTTP 200,ca_csd,Cleveland,QC
granicus,cumberland,True,HTTP 404,ca_csd,Cumberland,BC
granicus,buchanan,True,HTTP 200,ca_csd,Buchanan,SK
granicus,enterprise,True,HTTP 404,ca_csd,Enterprise,NT
