slug,platform,meeting_url,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail
riversidecountyca,granicus,https://riversidecountyca.granicus.com/MediaPlayer.php?view_id=2&clip_id=21,tier3-agenda,ingested,"Riverside County, California",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/riversidecountyca/riversidecountyca_473ecb86-da71-435e-88d8-9c1b08c3d72d.mp4/playlist.m3u8,/m/riverside-county-ca-2026-07-30-riverside-county-ca-legistar-admin-training-part
ouraycountyco,granicus,https://ouraycountyco.granicus.com/MediaPlayer.php?view_id=1&clip_id=18,tier3-agenda,ingested,Ouray County CO,0,0,,/m/ouray-county-co-2024-10-23-board-of-county-commissioners-oc4hec
gadsdencountyfl,granicus,https://gadsdencountyfl.granicus.com/MediaPlayer.php?view_id=1&clip_id=178,tier3-agenda,ingested,"Gadsden County, FL",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/gadsdencountyfl/gadsdencountyfl_dd82abd6-e6d4-4de2-ae3e-dc4ef852d755.mp4/playlist.m3u8,/m/gadsden-county-fl-2026-09-01-board-of-county-commissioners
horrycounty,granicus,https://horrycounty.granicus.com/MediaPlayer.php?view_id=2&clip_id=3363,tier1,ingested,"Horry County, South Carolina",524,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/horrycounty/horrycounty_d81e8e3d-a6cd-11f1-a028-005056a89546.mp4/playlist.m3u8,/m/horry-county-sc-2026-09-01-horry-county-council-meeting
pueblocounty,granicus,https://pueblocounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=9,tier3-video-only,queued,"Pueblo County, CO",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/pueblocounty/pueblocounty_cb3a0e92-70d4-47e7-9937-8cba28fbe5f5.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt (recovered via retry: next candidate)
clevelandcountyok,granicus,https://clevelandcountyok.granicus.com/MediaPlayer.php?view_id=1&clip_id=1296,tier3-agenda,ingested,"Cleveland County, OK",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/clevelandcountyok/clevelandcountyok_178f1aa8-872e-4b6f-87d9-4dd134401948.mp4/playlist.m3u8,/m/cleveland-county-ok-2026-09-03-employee-benefits-committee-on-2026-09-03-9-00-am
calvertcounty,granicus,https://calvertcounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=2134,tier3-agenda,ingested,"Calvert County, MD",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/calvertcounty/calvertcounty_b65c8ec9-a4a0-4b8b-ac04-b8dc18b68572.mp4/playlist.m3u8,/m/calvert-county-md-2026-08-18-regular-meeting-of-the-board-of-county-commissioner
montgomerycountypa,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
currycountynm,granicus,https://currycountynm.granicus.com/MediaPlayer.php?view_id=1&clip_id=735,tier3-agenda,ingested,"Curry County, NM",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/currycountynm/currycountynm_1372c681-3dd2-433b-afd9-643254a4326a.mp4/playlist.m3u8,/m/curry-county-nm-2026-08-18-board-of-county-commissioners
monroecounty-fl,granicus,https://monroecounty-fl.granicus.com/MediaPlayer.php?view_id=1&clip_id=117,tier3-agenda,ingested,Monroe County FL,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/monroecounty-fl/monroecounty-fl_8cd2ecfb-c60c-4aa7-809c-a098953da353.mp4/playlist.m3u8,/m/monroe-county-fl-2026-08-26-planning-commission-hearing
monroecountyfl,granicus,https://monroecountyfl.granicus.com/MediaPlayer.php?view_id=1&clip_id=137,tier3-agenda,ingested,"Monroe County, FL",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/monroecountyfl/monroecountyfl_ec4f199d-51f6-41e0-aec2-44be062b6455.mp4/playlist.m3u8,/m/monroe-county-fl-2026-05-21-board-of-county-commissioners-regular-meeting-dec-13
