old_slug,gov_id,new_slug,evidence
paramount-retiree-ca,rtr:us:ca:paramount-retiree,city-of-paramount-retiree-ca,"'City of Paramount Retiree, CA' now resolves to rtr:us:ca:paramount-retiree (City of Paramount Retiree, CA)"
park-ridge,us:place:1757875,park-ridge-il,"'City of Park Ridge' now resolves to us:place:1757875 (Park Ridge, IL)"
parker,us:place:0857630,parker-co,"'Parker' now resolves to us:place:0857630 (Parker, CO)"
parowan-city-ut,us:place:4958510,parowan-ut,"'PAROWAN city, UT' now resolves to us:place:4958510 (Parowan, UT)"
pasadena-unified-school-district,us:sd:0629940,pasadena-unified-school-district-ca,"'Pasadena Unified School District' now resolves to us:sd:0629940 (Pasadena Unified School District, CA)"
payson,us:place:4958730,payson-ut,"'Payson' now resolves to us:place:4958730 (Payson, UT)"
peel-region-on,ca:cd:3521,peel-on,"'Peel Region, ON' now resolves to ca:cd:3521 (Peel, ON)"
pekin,us:place:1758447,pekin-city-il,"'Pekin' now resolves to us:place:1758447 (Pekin (city), IL)"
pelham-ny,us:place:3657001,pelham-village-ny,"'PELHAM, NY' now resolves to us:place:3657001 (Pelham (village), NY)"
penfield-ny,us:cousub:3605557144,penfield-town-ny,"'Penfield, NY' now resolves to us:cousub:3605557144 (Penfield Town, NY)"
pensacola,us:place:1255925,pensacola-fl,"'City of Pensacola' now resolves to us:place:1255925 (Pensacola, FL)"
peoria,us:place:1759000,peoria-il,"'City of Peoria' now resolves to us:place:1759000 (Peoria, IL)"
perrysburg-oh,us:place:3962148,perrysburg-city-oh,"'Perrysburg, OH' now resolves to us:place:3962148 (Perrysburg (city), OH)"
petersburg-ak,rtr:us:ak:petersburg,city-of-petersburg-ak,"'City of Petersburg, AK' now resolves to rtr:us:ak:petersburg (City of Petersburg, AK)"
pflugerville,us:place:4857176,pflugerville-tx,"'City of Pflugerville.' now resolves to us:place:4857176 (Pflugerville, TX)"
pickering,us:place:2957404,pickering-mo,"'City of Pickering' now resolves to us:place:2957404 (Pickering, MO)"
piedmont,us:place:0656938,piedmont-ca,"'City of Piedmont' now resolves to us:place:0656938 (Piedmont, CA)"
pilot-point,us:place:4857476,pilot-point-tx,"'City of Pilot Point' now resolves to us:place:4857476 (Pilot Point, TX)"
