old_slug,gov_id,new_slug,evidence
abbotsford,us:place:5500100,abbotsford-wi,"'Abbotsford' now resolves to us:place:5500100 (Abbotsford, WI)"
aiken-county-public-schools-sc,us:sd:4500720,aiken-county-school-district-sc,"'Aiken County Public Schools, SC' now resolves to us:sd:4500720 (Aiken County School District, SC)"
alameda,us:place:0600562,alameda-ca,"'City of Alameda' now resolves to us:place:0600562 (Alameda, CA)"
albuquerque-bernalillo-county-water-utility-authority,rtr:us:nm:albuquerque-bernalillo-county-water-utility-authority,albuquerque-bernalillo-county-water-utility-authority-nm,"'Albuquerque Bernalillo County Water Utility Authority' now resolves to rtr:us:nm:albuquerque-bernalillo-county-water-utility-authority (Albuquerque Bernalillo County Water Utility Authority, NM)"
alpine,us:county:06003,alpine-county-ca,"'Alpine' now resolves to us:county:06003 (Alpine County, CA)"
altoona,us:place:5501550,altoona-wi,"'City of Altoona' now resolves to us:place:5501550 (Altoona, WI)"
amherst,us:county:51009,amherst-county-va,"'Amherst' now resolves to us:county:51009 (Amherst County, VA)"
amherst-oh,us:place:3901798,amherst-city-oh,"'Amherst, OH' now resolves to us:place:3901798 (Amherst (city), OH)"
amsterdam-ny,us:place:3602066,amsterdam-city-ny,"'Amsterdam, NY' now resolves to us:place:3602066 (Amsterdam (city), NY)"
anderson-in,us:place:1801468,anderson-city-in,"'City of Anderson, IN' now resolves to us:place:1801468 (Anderson (city), IN)"
andover,us:place:2001800,andover-ks,"'The City of Andover' now resolves to us:place:2001800 (Andover, KS)"
annapolis,us:place:2401600,annapolis-md,"'City of Annapolis' now resolves to us:place:2401600 (Annapolis, MD)"
antioch,us:place:0602252,antioch-ca,"'Antioch' now resolves to us:place:0602252 (Antioch, CA)"
appleton,us:place:5502375,appleton-wi,"'City of Appleton' now resolves to us:place:5502375 (Appleton, WI)"
arkansas-supreme-court,rtr:us:sc:arkansas-supreme-court,arkansas-supreme-court-sc,"'Arkansas Supreme Court' now resolves to rtr:us:sc:arkansas-supreme-court (Arkansas Supreme Court, SC)"
arlington-heights,us:place:1702154,arlington-heights-il,"'Arlington Heights' now resolves to us:place:1702154 (Arlington Heights, IL)"
artesia,us:place:0602896,artesia-ca,"'Artesia' now resolves to us:place:0602896 (Artesia, CA)"
ashland-wi,us:place:5503225,ashland-city-wi,"'Ashland, WI' now resolves to us:place:5503225 (Ashland (city), WI)"
athens-oh,us:place:3902736,athens-city-oh,"'Athens, OH' now resolves to us:place:3902736 (Athens (city), OH)"
auburn-ca,rtr:us:ca:auburn,the-city-of-auburn-ca,"'The City of Auburn, CA' now resolves to rtr:us:ca:auburn (The City of Auburn, CA)"
aurora-il,us:place:1703012,aurora-city-il,"'Aurora, IL' now resolves to us:place:1703012 (Aurora (city), IL)"
bainbridge-wa,us:place:5303736,bainbridge-island-wa,"'Bainbridge, WA' now resolves to us:place:5303736 (Bainbridge Island, WA)"
baldwin-county,us:county:01003,baldwin-county-al,"'Baldwin County' now resolves to us:county:01003 (Baldwin County, AL)"
baltimore-county-schools-md,us:sd:2400120,baltimore-county-public-schools-md,"'Baltimore County Schools, MD' now resolves to us:sd:2400120 (Baltimore County Public Schools, MD)"
baraboo-wi,us:place:5504625,baraboo-city-wi,"'City of Baraboo, WI' now resolves to us:place:5504625 (Baraboo (city), WI)"
battle-ground-public-schools-wa,us:sd:5300380,battle-ground-school-district-wa,"'Battle Ground Public Schools, WA' now resolves to us:sd:5300380 (Battle Ground School District, WA)"
bay-area-headquarters-authority,rtr:us:ca:metropolitan-transportation-commission,metropolitan-transportation-commission-ca,"'Bay Area Headquarters Authority' now resolves to rtr:us:ca:metropolitan-transportation-commission (Metropolitan Transportation Commission, CA)"
beaufort,us:place:4504690,beaufort-sc,"'Beaufort' now resolves to us:place:4504690 (Beaufort, SC)"
beavercreek-oh,us:place:3904720,beavercreek-city-oh,"'City of Beavercreek, OH' now resolves to us:place:3904720 (Beavercreek (city), OH)"
bedford-oh,us:place:3904878,bedford-city-oh,"'Bedford, OH' now resolves to us:place:3904878 (Bedford (city), OH)"
bellaire,us:place:4807300,bellaire-tx,"'City of Bellaire' now resolves to us:place:4807300 (Bellaire, TX)"
belle-plaine-mn,us:place:2704834,belle-plaine-city-mn,"'Belle Plaine, MN' now resolves to us:place:2704834 (Belle Plaine (city), MN)"
beverly-hills,us:place:0606308,beverly-hills-ca,"'City of Beverly Hills' now resolves to us:place:0606308 (Beverly Hills, CA)"
birmingham,us:place:0107000,birmingham-al,"'City of Birmingham' now resolves to us:place:0107000 (Birmingham, AL)"
blount-county,us:county:47009,blount-county-tn,"'Blount County' now resolves to us:county:47009 (Blount County, TN)"
bonita-usd-ca,us:sd:0605610,bonita-unified-school-district-ca,"'Bonita USD, CA' now resolves to us:sd:0605610 (Bonita Unified School District, CA)"
boonton-nj,us:place:3406610,boonton-town-nj,"'Boonton, NJ' now resolves to us:place:3406610 (Boonton (town), NJ)"
borough-of-fair-haven,us:place:3422440,fair-haven-nj,"'Borough of Fair Haven' now resolves to us:place:3422440 (Fair Haven, NJ)"
borough-of-jefferson-hills-pa,us:place:4237955,jefferson-hills-pa,"'Borough of Jefferson Hills, PA' now resolves to us:place:4237955 (Jefferson Hills, PA)"
borough-of-leonia-nj,us:place:3440020,leonia-nj,"'Borough of Leonia, NJ' now resolves to us:place:3440020 (Leonia, NJ)"
borough-of-new-providence-nj,us:place:3451810,new-providence-nj,"'Borough of New Providence, NJ' now resolves to us:place:3451810 (New Providence, NJ)"
borough-of-pompton-lakes-nj,us:place:3460090,pompton-lakes-nj,"'Borough of Pompton Lakes, NJ' now resolves to us:place:3460090 (Pompton Lakes, NJ)"
borough-of-roseland-nj,us:place:3464590,roseland-nj,"'Borough of Roseland, NJ' now resolves to us:place:3464590 (Roseland, NJ)"
bowie,us:place:4809640,bowie-tx,"'City of Bowie' now resolves to us:place:4809640 (Bowie, TX)"
bradfordwestgwillimbury,ca:csd:3543014,bradford-west-gwillimbury-on,"'Bradfordwestgwillimbury' now resolves to ca:csd:3543014 (Bradford West Gwillimbury, ON)"
branchburg-nj,us:cousub:3403507180,branchburg-township-nj,"'Branchburg, NJ' now resolves to us:cousub:3403507180 (Branchburg Township, NJ)"
brandon-vt,us:cousub:5002107750,brandon-town-vt,"'Brandon, VT' now resolves to us:cousub:5002107750 (Brandon Town, VT)"
brighton,us:place:0808675,brighton-co,"'City of Brighton' now resolves to us:place:0808675 (Brighton, CO)"
bristol-ri,us:county:44001,bristol-county-ri,"'Bristol, RI' now resolves to us:county:44001 (Bristol County, RI)"
brockton,us:place:2509000,brockton-ma,"'Brockton' now resolves to us:place:2509000 (Brockton, MA)"
brookhaven,us:cousub:3610310000,brookhaven-town-ny,"'Brookhaven' now resolves to us:cousub:3610310000 (Brookhaven Town, NY)"
brookings-sd,us:place:4607580,brookings-city-sd,"'City of Brookings, SD' now resolves to us:place:4607580 (Brookings (city), SD)"
broward-county-public-schools-fl,us:sd:1200180,broward-county-school-district-fl,"'Broward County Public Schools, FL' now resolves to us:sd:1200180 (Broward County School District, FL)"
buckley,us:place:5308570,buckley-wa,"'City of Buckley' now resolves to us:place:5308570 (Buckley, WA)"
buffalo-grove-village-il,us:place:1709447,buffalo-grove-il,"'Buffalo Grove Village, IL' now resolves to us:place:1709447 (Buffalo Grove, IL)"
buffalo-ny,rtr:us:ny:buffalo,the-city-of-buffalo-ny,"'The City of Buffalo, NY' now resolves to rtr:us:ny:buffalo (The City of Buffalo, NY)"
burbank,us:place:0608954,burbank-ca,"'City of Burbank' now resolves to us:place:0608954 (Burbank, CA)"
burlington,us:place:5010675,burlington-vt,"'Burlington' now resolves to us:place:5010675 (Burlington, VT)"
burnsville,us:place:2708794,burnsville-mn,"'City of Burnsville' now resolves to us:place:2708794 (Burnsville, MN)"
burton,us:place:2612060,burton-mi,"'City of Burton' now resolves to us:place:2612060 (Burton, MI)"
butler-county,us:county:20015,butler-county-ks,"'Butler County' now resolves to us:county:20015 (Butler County, KS)"
calaveras-ca,us:county:06009,calaveras-county-ca,"'Calaveras, CA' now resolves to us:county:06009 (Calaveras County, CA)"
caledonia-township,us:cousub:2615512520,caledonia-charter-township-mi,"'Caledonia Township' now resolves to us:cousub:2615512520 (Caledonia (charter township), MI)"
california,rtr:us:ca:judicial-council-of-california,judicial-council-of-california-ca,"'California' now resolves to rtr:us:ca:judicial-council-of-california (Judicial Council of California, CA)"
california-state-personnel-board,rtr:us:ca:california-state-personnel-board,california-state-personnel-board-ca,"'California State Personnel Board' now resolves to rtr:us:ca:california-state-personnel-board (California State Personnel Board, CA)"
california-state-senate,us:state:06,state-of-california,'California State Senate' now resolves to us:state:06 (State of California)
cambridge,us:place:2511000,cambridge-ma,"'Cambridge' now resolves to us:place:2511000 (Cambridge, MA)"
cambridge-city-ma,us:place:2511000,cambridge-ma,"'Cambridge City, MA' now resolves to us:place:2511000 (Cambridge, MA)"
campbell,us:place:0610345,campbell-ca,"'City of Campbell' now resolves to us:place:0610345 (Campbell, CA)"
canaan-nh,us:cousub:3300908980,canaan-town-nh,"'Canaan, NH' now resolves to us:cousub:3300908980 (Canaan Town, NH)"
canandaigua-ny,us:place:3612144,canandaigua-city-ny,"'Canandaigua, NY' now resolves to us:place:3612144 (Canandaigua (city), NY)"
canfield-oh,us:place:3911360,canfield-city-oh,"'Canfield, OH' now resolves to us:place:3911360 (Canfield (city), OH)"
cannon-falls-mn,us:place:2709730,cannon-falls-city-mn,"'Cannon Falls, MN' now resolves to us:place:2709730 (Cannon Falls (city), MN)"
carbondale-il,us:place:1711163,carbondale-city-il,"'Carbondale, IL' now resolves to us:place:1711163 (Carbondale (city), IL)"
carrollton,us:place:4813024,carrollton-tx,"'City of Carrollton' now resolves to us:place:4813024 (Carrollton, TX)"
carson,us:place:0611530,carson-ca,"'Carson' now resolves to us:place:0611530 (Carson, CA)"
cary,us:place:3710740,cary-nc,"'Cary' now resolves to us:place:3710740 (Cary, NC)"
casco-me,us:cousub:2300511125,casco-town-me,"'Casco, ME' now resolves to us:cousub:2300511125 (Casco Town, ME)"
cass,us:county:18017,cass-county-in,"'Cass' now resolves to us:county:18017 (Cass County, IN)"
ccs-f,us:place:0667000,san-francisco-ca,"'Ccs F' now resolves to us:place:0667000 (San Francisco, CA)"
champaign-il,us:place:1712385,champaign-city-il,"'Champaign, IL' now resolves to us:place:1712385 (Champaign (city), IL)"
charleston,us:place:5414600,charleston-wv,"'Charleston' now resolves to us:place:5414600 (Charleston, WV)"
charlestown-in,us:place:1812124,charlestown-city-in,"'Charlestown, IN' now resolves to us:place:1812124 (Charlestown (city), IN)"
charlestown-ri,us:cousub:4400914500,charlestown-town-ri,"'Charlestown, RI' now resolves to us:cousub:4400914500 (Charlestown Town, RI)"
charlotte,us:county:12015,charlotte-county-fl,"'Charlotte' now resolves to us:county:12015 (Charlotte County, FL)"
chatham-kent,ca:csd:3536020,chatham-kent-on,"'Chatham Kent' now resolves to ca:csd:3536020 (Chatham-Kent, ON)"
chatham-ma,us:cousub:2500112995,chatham-town-ma,"'Chatham, MA' now resolves to us:cousub:2500112995 (Chatham Town, MA)"
chesterfield,us:county:51041,chesterfield-county-va,"'Chesterfield' now resolves to us:county:51041 (Chesterfield County, VA)"
chesterfield-township,us:cousub:2609915340,chesterfield-township-mi,"'Chesterfield Township' now resolves to us:cousub:2609915340 (Chesterfield Township, MI)"
cheyenne,us:place:5613900,cheyenne-wy,"'City of Cheyenne' now resolves to us:place:5613900 (Cheyenne, WY)"
city-and-county-of-denver,us:place:0820000,denver-co,"'City and County of Denver' now resolves to us:place:0820000 (Denver, CO)"
city-and-county-of-san-francisco,us:place:0667000,san-francisco-ca,"'City and County of San Francisco' now resolves to us:place:0667000 (San Francisco, CA)"
clallam,us:county:53009,clallam-county-wa,"'Clallam' now resolves to us:county:53009 (Clallam County, WA)"
clallam-wa,us:county:53009,clallam-county-wa,"'Clallam, WA' now resolves to us:county:53009 (Clallam County, WA)"
clarington,us:place:3915210,clarington-oh,"'Clarington' now resolves to us:place:3915210 (Clarington, OH)"
clarkston-city-ga,us:place:1316544,clarkston-ga,"'Clarkston City, GA' now resolves to us:place:1316544 (Clarkston, GA)"
clawson-mi,rtr:us:mi:clawson,the-city-of-clawson-mi,"'The City of Clawson, MI' now resolves to rtr:us:mi:clawson (The City of Clawson, MI)"
clinton,us:place:4515295,clinton-sc,"'Clinton' now resolves to us:place:4515295 (Clinton, SC)"
coffee-tn,us:county:47031,coffee-county-tn,"'Coffee, TN' now resolves to us:county:47031 (Coffee County, TN)"
collinsville,us:place:1715599,collinsville-city-il,"'City of Collinsville' now resolves to us:place:1715599 (Collinsville (city), IL)"
colonie-ny,us:place:3617332,colonie-village-ny,"'Colonie, NY' now resolves to us:place:3617332 (Colonie (village), NY)"
colorado,us:county:48089,colorado-county-tx,"'Colorado' now resolves to us:county:48089 (Colorado County, TX)"
columbia,us:place:4716540,columbia-tn,"'Columbia' now resolves to us:place:4716540 (Columbia, TN)"
columbus-in,us:place:1814734,columbus-city-in,"'City of Columbus, IN' now resolves to us:place:1814734 (Columbus (city), IN)"
columbus-wi,us:place:5516450,columbus-city-wi,"'City of Columbus, WI' now resolves to us:place:5516450 (Columbus (city), WI)"
concord,us:place:0616000,concord-ca,"'Concord' now resolves to us:place:0616000 (Concord, CA)"
conejo-valley-usd-ca,us:sd:0609640,conejo-valley-unified-school-district-ca,"'Conejo Valley USD, CA' now resolves to us:sd:0609640 (Conejo Valley Unified School District, CA)"
converse,us:place:4816468,converse-tx,"'City of Converse' now resolves to us:place:4816468 (Converse, TX)"
cornwall,us:place:4216256,cornwall-pa,"'City of Cornwall' now resolves to us:place:4216256 (Cornwall, PA)"
corona,us:place:0616350,corona-ca,"'Corona' now resolves to us:place:0616350 (Corona, CA)"
coronado-usd-ca,us:sd:0609870,coronado-unified-school-district-ca,"'Coronado USD, CA' now resolves to us:sd:0609870 (Coronado Unified School District, CA)"
cottage-grove-wi,us:place:5517175,cottage-grove-village-wi,"'Cottage Grove, WI' now resolves to us:place:5517175 (Cottage Grove (village), WI)"
county-of-alachua-fl,us:county:12001,alachua-county-fl,"'County of Alachua, FL' now resolves to us:county:12001 (Alachua County, FL)"
county-of-citrus-fl,us:county:12017,citrus-county-fl,"'County of Citrus, FL' now resolves to us:county:12017 (Citrus County, FL)"
county-of-clark,us:county:32003,clark-county-nv,"'County of Clark' now resolves to us:county:32003 (Clark County, NV)"
county-of-clark-nv,us:county:32003,clark-county-nv,"'County of Clark, NV' now resolves to us:county:32003 (Clark County, NV)"
county-of-cumberland-pa,us:county:42041,cumberland-county-pa,"'County of Cumberland, PA' now resolves to us:county:42041 (Cumberland County, PA)"
county-of-dakota,us:county:27037,dakota-county-mn,"'County of Dakota' now resolves to us:county:27037 (Dakota County, MN)"
county-of-dallas-tx,us:county:48113,dallas-county-tx,"'County of Dallas, TX' now resolves to us:county:48113 (Dallas County, TX)"
county-of-delaware,us:county:42045,delaware-county-pa,"'County of Delaware' now resolves to us:county:42045 (Delaware County, PA)"
county-of-dupage-il,us:county:17043,dupage-county-il,"'County of DuPage, IL' now resolves to us:county:17043 (DuPage County, IL)"
county-of-essex,ca:cd:3537,essex-on,"'County of Essex' now resolves to ca:cd:3537 (Essex, ON)"
county-of-fresno-ca,us:county:06019,fresno-county-ca,"'County of Fresno, CA' now resolves to us:county:06019 (Fresno County, CA)"
county-of-hennepin-mn,us:county:27053,hennepin-county-mn,"'County of Hennepin, MN' now resolves to us:county:27053 (Hennepin County, MN)"
county-of-honolulu,us:county:15003,city-and-county-of-honolulu-hi,"'County of Honolulu.' now resolves to us:county:15003 (City and County of Honolulu, HI)"
county-of-humboldt-ca,us:county:06023,humboldt-county-ca,"'County of Humboldt, CA' now resolves to us:county:06023 (Humboldt County, CA)"
county-of-imperial-ca,us:county:06025,imperial-county-ca,"'County of Imperial, CA' now resolves to us:county:06025 (Imperial County, CA)"
county-of-lancaster-va,us:county:51103,lancaster-county-va,"'County of Lancaster, VA' now resolves to us:county:51103 (Lancaster County, VA)"
county-of-marin-ca,us:county:06041,marin-county-ca,"'County of Marin, CA' now resolves to us:county:06041 (Marin County, CA)"
county-of-maui-hi,us:county:15009,maui-county-hi,"'County of Maui, HI' now resolves to us:county:15009 (Maui County, HI)"
county-of-middlesex,ca:cd:3539,middlesex-on,"'County of Middlesex' now resolves to ca:cd:3539 (Middlesex, ON)"
county-of-monterey-ca,us:county:06053,monterey-county-ca,"'County of Monterey, CA' now resolves to us:county:06053 (Monterey County, CA)"
county-of-napa-ca,us:county:06055,napa-county-ca,"'County of Napa, CA' now resolves to us:county:06055 (Napa County, CA)"
county-of-nevada,us:county:06057,nevada-county-ca,"'County of Nevada' now resolves to us:county:06057 (Nevada County, CA)"
county-of-northumberland,us:county:42097,northumberland-county-pa,"'County of Northumberland' now resolves to us:county:42097 (Northumberland County, PA)"
county-of-orange,us:county:06059,orange-county-ca,"'County of Orange' now resolves to us:county:06059 (Orange County, CA)"
county-of-placer-ca,us:county:06061,placer-county-ca,"'County of Placer, CA' now resolves to us:county:06061 (Placer County, CA)"
county-of-plumas-ca,us:county:06063,plumas-county-ca,"'County of Plumas, CA' now resolves to us:county:06063 (Plumas County, CA)"
county-of-powhatan-va,us:county:51145,powhatan-county-va,"'County of Powhatan, VA' now resolves to us:county:51145 (Powhatan County, VA)"
county-of-san-bernardino-ca,us:county:06071,san-bernardino-county-ca,"'County of San Bernardino, CA' now resolves to us:county:06071 (San Bernardino County, CA)"
county-of-san-diego-ca,us:county:06073,san-diego-county-ca,"'County of San Diego, CA' now resolves to us:county:06073 (San Diego County, CA)"
county-of-san-mateo-ca,us:county:06081,san-mateo-county-ca,"'County of San Mateo, CA' now resolves to us:county:06081 (San Mateo County, CA)"
county-of-santa-clara-ca,us:county:06085,santa-clara-county-ca,"'County of Santa Clara, CA' now resolves to us:county:06085 (Santa Clara County, CA)"
county-of-skagit-wa,us:county:53057,skagit-county-wa,"'County of Skagit, WA' now resolves to us:county:53057 (Skagit County, WA)"
county-of-solano-ca,us:county:06095,solano-county-ca,"'County of Solano, CA' now resolves to us:county:06095 (Solano County, CA)"
county-of-wellington,ca:cd:3523,wellington-on,"'County of Wellington' now resolves to ca:cd:3523 (Wellington, ON)"
courtenay-nd,us:place:3816380,courtenay-city-nd,"'Courtenay, ND' now resolves to us:place:3816380 (Courtenay (city), ND)"
crestview,us:place:1215475,crestview-fl,"'City of Crestview' now resolves to us:place:1215475 (Crestview, FL)"
crookston,us:place:2713870,crookston-city-mn,"'City of Crookston' now resolves to us:place:2713870 (Crookston (city), MN)"
damariscotta-me,us:cousub:2301516235,damariscotta-town-me,"'Damariscotta, ME' now resolves to us:cousub:2301516235 (Damariscotta Town, ME)"
davis,us:place:0618100,davis-ca,"'City of Davis' now resolves to us:place:0618100 (Davis, CA)"
decatur-il,us:place:1718823,decatur-city-il,"'Decatur, IL' now resolves to us:place:1718823 (Decatur (city), IL)"
deland,rtr:us:fl:deland,the-city-of-deland-fl,"'The City Of DeLand' now resolves to rtr:us:fl:deland (The City Of DeLand, FL)"
dell-rapids-sd,us:place:4615980,dell-rapids-city-sd,"'City of Dell Rapids, SD' now resolves to us:place:4615980 (Dell Rapids (city), SD)"
delta,ca:csd:5915011,delta-bc,"'Delta' now resolves to ca:csd:5915011 (Delta, BC)"
denton,us:place:4819972,denton-tx,"'City of Denton' now resolves to us:place:4819972 (Denton, TX)"
dixon,us:place:0619402,dixon-ca,"'City of Dixon' now resolves to us:place:0619402 (Dixon, CA)"
dormont-borough-pa,us:place:4219576,dormont-pa,"'Dormont Borough, PA' now resolves to us:place:4219576 (Dormont, PA)"
dryden,ca:csd:3560027,dryden-on,"'Dryden' now resolves to ca:csd:3560027 (Dryden, ON)"
dublin-oh,us:place:3922694,dublin-city-oh,"'Dublin, OH' now resolves to us:place:3922694 (Dublin (city), OH)"
duluth,us:place:2717000,duluth-city-mn,"'City of Duluth' now resolves to us:place:2717000 (Duluth (city), MN)"
duluth-mn,us:place:2717000,duluth-city-mn,"'City of Duluth, MN' now resolves to us:place:2717000 (Duluth (city), MN)"
durham-region-on,ca:cd:3518,durham-on,"'Durham Region, ON' now resolves to ca:cd:3518 (Durham, ON)"
east-greenwich-ri,us:cousub:4400322240,east-greenwich-town-ri,"'East Greenwich, RI' now resolves to us:cousub:4400322240 (East Greenwich Town, RI)"
easton,us:place:2424475,easton-md,"'Easton' now resolves to us:place:2424475 (Easton, MD)"
eastvale,us:place:0621230,eastvale-ca,"'Eastvale' now resolves to us:place:0621230 (Eastvale, CA)"
eau-claire,us:place:5522300,eau-claire-wi,"'City of Eau Claire' now resolves to us:place:5522300 (Eau Claire, WI)"
edgewater,us:place:1219825,edgewater-fl,"'City of Edgewater' now resolves to us:place:1219825 (Edgewater, FL)"
edina,us:place:2718188,edina-mn,"'Edina' now resolves to us:place:2718188 (Edina, MN)"
edmonton,us:place:2123968,edmonton-ky,"'Edmonton' now resolves to us:place:2123968 (Edmonton, KY)"
el-paso-independent-school-district,us:sd:4818300,el-paso-independent-school-district-tx,"'El Paso Independent School District' now resolves to us:sd:4818300 (El Paso Independent School District, TX)"
elbert-county,us:county:08039,elbert-county-co,"'Elbert County' now resolves to us:county:08039 (Elbert County, CO)"
eldorado,us:place:2020075,el-dorado-city-ks,"'Eldorado' now resolves to us:place:2020075 (El Dorado (city), KS)"
elgin-il,us:place:1723074,elgin-city-il,"'City of Elgin, IL' now resolves to us:place:1723074 (Elgin (city), IL)"
emporia-ks,us:place:2021275,emporia-city-ks,"'Emporia, KS' now resolves to us:place:2021275 (Emporia (city), KS)"
enfield,us:cousub:0911025990,enfield-town-ct,"'Enfield' now resolves to us:cousub:0911025990 (Enfield Town, CT)"
enfield-ct,us:cousub:0911025990,enfield-town-ct,"'Enfield, CT' now resolves to us:cousub:0911025990 (Enfield Town, CT)"
ennis,us:place:4824348,ennis-tx,"'City of Ennis' now resolves to us:place:4824348 (Ennis, TX)"
erie-county,us:county:42049,erie-county-pa,"'Erie County' now resolves to us:county:42049 (Erie County, PA)"
escambia-fl,us:county:12033,escambia-county-fl,"'Escambia, FL' now resolves to us:county:12033 (Escambia County, FL)"
espanol-a,ca:csd:3552026,espanola-on,"'Espanol A' now resolves to ca:csd:3552026 (Espanola, ON)"
eustis,us:place:1221350,eustis-fl,"'City of Eustis' now resolves to us:place:1221350 (Eustis, FL)"
everett,us:place:5322640,everett-wa,"'City of Everett' now resolves to us:place:5322640 (Everett, WA)"
ezt,ca:csd:3532038,east-zorra-tavistock-on,"'Ezt' now resolves to ca:csd:3532038 (East Zorra-Tavistock, ON)"
fairfield-oh,us:place:3925970,fairfield-city-oh,"'City of Fairfield, OH' now resolves to us:place:3925970 (Fairfield (city), OH)"
falmouth-schools-me,us:sd:2305670,falmouth-me,"'Falmouth Schools, ME' now resolves to us:sd:2305670 (Falmouth, ME)"
fargo,us:place:3825700,fargo-nd,"'Fargo' now resolves to us:place:3825700 (Fargo, ND)"
farmersville,us:cousub:3600925340,farmersville-town-ny,"'Farmersville' now resolves to us:cousub:3600925340 (Farmersville Town, NY)"
fayetteville,us:place:3722920,fayetteville-nc,"'City of Fayetteville' now resolves to us:place:3722920 (Fayetteville, NC)"
flandreau-sd,us:place:4621540,flandreau-city-sd,"'Flandreau, SD' now resolves to us:place:4621540 (Flandreau (city), SD)"
florence,us:place:4126050,florence-or,"'City of Florence' now resolves to us:place:4126050 (Florence, OR)"
folsom,us:place:0624638,folsom-ca,"'City of Folsom' now resolves to us:place:0624638 (Folsom, CA)"
fond-du-lac-wi,us:place:5526275,fond-du-lac-city-wi,"'Fond du Lac, WI' now resolves to us:place:5526275 (Fond du Lac (city), WI)"
fontana,us:place:0624680,fontana-ca,"'Fontana' now resolves to us:place:0624680 (Fontana, CA)"
fontana-usd-ca,us:sd:0613920,fontana-unified-school-district-ca,"'Fontana USD, CA' now resolves to us:sd:0613920 (Fontana Unified School District, CA)"
franklin,us:place:4727740,franklin-tn,"'Franklin' now resolves to us:place:4727740 (Franklin, TN)"
frederick,us:place:0828360,frederick-co,"'Frederick' now resolves to us:place:0828360 (Frederick, CO)"
freeport-me,us:cousub:2300526525,freeport-town-me,"'Freeport, ME' now resolves to us:cousub:2300526525 (Freeport Town, ME)"
ft-myers-fl,us:place:1224125,fort-myers-fl,"'Ft Myers, FL' now resolves to us:place:1224125 (Fort Myers, FL)"
fulton,us:place:2926182,fulton-mo,"'Fulton' now resolves to us:place:2926182 (Fulton, MO)"
gainesville,us:place:1225175,gainesville-fl,"'City of Gainesville' now resolves to us:place:1225175 (Gainesville, FL)"
gales-burg,us:place:1728326,galesburg-city-il,"'Gales Burg' now resolves to us:place:1728326 (Galesburg (city), IL)"
galesburg-il,us:place:1728326,galesburg-city-il,"'Galesburg, IL' now resolves to us:place:1728326 (Galesburg (city), IL)"
garfield-co,us:county:08045,garfield-county-co,"'Garfield, CO' now resolves to us:county:08045 (Garfield County, CO)"
germantown,us:place:4728960,germantown-tn,"'City of Germantown' now resolves to us:place:4728960 (Germantown, TN)"
glencoe-village-il,us:place:1729652,glencoe-il,"'Glencoe Village, IL' now resolves to us:place:1729652 (Glencoe, IL)"
glendora,us:place:0630014,glendora-ca,"'Glendora' now resolves to us:place:0630014 (Glendora, CA)"
glenview,us:cousub:3801530900,glenview-township-nd,"'Glenview' now resolves to us:cousub:3801530900 (Glenview Township, ND)"
gloucester-va,us:county:51073,gloucester-county-va,"'Gloucester, VA' now resolves to us:county:51073 (Gloucester County, VA)"
goffstown-nh,us:cousub:3301129860,goffstown-town-nh,"'Goffstown, NH' now resolves to us:cousub:3301129860 (Goffstown Town, NH)"
golden,us:place:0830835,golden-co,"'City of Golden' now resolves to us:place:0830835 (Golden, CO)"
gonzales,us:place:0630392,gonzales-ca,"'City of Gonzales' now resolves to us:place:0630392 (Gonzales, CA)"
grand-county,us:county:08049,grand-county-co,"'Grand County' now resolves to us:county:08049 (Grand County, CO)"
greeley,us:place:0832155,greeley-co,"'Greeley' now resolves to us:place:0832155 (Greeley, CO)"
green,us:place:3931860,green-city-oh,"'City of Green' now resolves to us:place:3931860 (Green (city), OH)"
green-bay-wi,us:place:5531000,green-bay-city-wi,"'Green Bay, WI' now resolves to us:place:5531000 (Green Bay (city), WI)"
greenburgh-ny,us:cousub:3611930367,greenburgh-town-ny,"'Greenburgh, NY' now resolves to us:cousub:3611930367 (Greenburgh Town, NY)"
greene-county,us:county:51079,greene-county-va,"'Greene County' now resolves to us:county:51079 (Greene County, VA)"
greensboro,us:place:3728000,greensboro-nc,"'City of Greensboro' now resolves to us:place:3728000 (Greensboro, NC)"
gresham,us:place:4131250,gresham-or,"'City of Gresham' now resolves to us:place:4131250 (Gresham, OR)"
guttenberg,us:place:1933465,guttenberg-ia,"'City of Guttenberg' now resolves to us:place:1933465 (Guttenberg, IA)"
h-psb,rtr:ca:on:hamilton-police-services-board,hamilton-police-services-board-on,"'H Psb' now resolves to rtr:ca:on:hamilton-police-services-board (Hamilton Police Services Board, ON)"
haldimand-county,rtr:ca:on:haldimand-county,haldimand-county-on,"'Haldimand County' now resolves to rtr:ca:on:haldimand-county (Haldimand County, ON)"
half-moon-bay,us:place:0631708,half-moon-bay-ca,"'City of Half Moon Bay' now resolves to us:place:0631708 (Half Moon Bay, CA)"
