platform,tenant_host,match,pages,stored_names,example_slug,landing_url,swagit_footer,proposed_name,proposed_gov_id,proposed_evidence,ryan_gov_name,ryan_note
swagit,coppellisd.new.swagit.com,,2,,sep-16-2024-board-workshop-coppell-independent-school-district,https://coppellisd.new.swagit.com,Coppell Independent School District,"Coppell Independent School District, TX",us:sd:4815210,"swagit footer reads ""Coppell Independent School District"" -> ""Coppell Independent School District""",,
swagit,pelhampublicschoolsny.new.swagit.com,,2,,jan-08-2025-january-8-2025-business-meeting-pelham-public-schools,https://pelhampublicschoolsny.new.swagit.com,Pelham Public Schools,,,,,
swagit,alamedausdca.new.swagit.com,,1,,jun-27-2023-school-board-meeting-alameda-unified-school-district,https://alamedausdca.new.swagit.com,Alameda Unified School District,,,,,
swagit,alamoareampo.new.swagit.com,,1,,may-21-2018-transportation-policy-board-alamo-area-metropolitan-planning-organiz,https://alamoareampo.new.swagit.com,Alamo Area Metropolitan Planning Organization,,,,,
swagit,battlegroundps.new.swagit.com,,1,,dec-08-2025-board-of-directors,https://battlegroundps.new.swagit.com,"Battle Ground Public Schools, WA",,,,,
swagit,brevardpublicschools.new.swagit.com,,1,,jan-20-2026-board-workshop-brevard-public-schools,https://brevardpublicschools.new.swagit.com,Brevard Public Schools,,,,,
swagit,dart.new.swagit.com,,1,City of Plano,city-of-plano-oct-31-2023-board-meeting-dallas-area-rapid-transit-dart,https://dart.new.swagit.com,Dallas Area Rapid Transit (DART),,,,,
swagit,dcccd.new.swagit.com,,1,City of Dallas,city-of-dallas-apr-04-2023-education-workforce-committee-meeting-dallas-county-c,https://dcccd.new.swagit.com,Dallas County Community College District,,,,,
swagit,dd7.new.swagit.com,,1,,aug-05-2025-regular-commissioner-meeting-jefferson-county-drainage-district-no-7,https://dd7.new.swagit.com,Jefferson County Drainage District No. 7,,,,,
swagit,derby.civicweb.net,,1,City of Derby,city-of-derby-2026-08-25-city-council-25-aug-2026,https://derby.civicweb.net,,,,,,
swagit,desotoisdtx.new.swagit.com,,1,,feb-23-2026-board-meetings-desoto-isd,https://desotoisdtx.new.swagit.com,DeSoto ISD,,,,,
swagit,floodauthorityeast.new.swagit.com,,1,,aug-21-2025-board-meeting-flood-protection-authority-east,https://floodauthorityeast.new.swagit.com,Flood Protection Authority East,,,,,
swagit,galvestonparkboardtx.new.swagit.com,,1,,apr-28-2026-board-of-trustees-galveston-park-board-of-trustees,https://galvestonparkboardtx.new.swagit.com,Galveston Park Board of Trustees,,,,,
swagit,greenburghpublicaccess.new.swagit.com,,1,,feb-19-2025-the-african-diaspora-experience-biff-henderson-greenburgh-public-acc,https://greenburghpublicaccess.new.swagit.com,Greenburgh Public Access TV,,,,,
swagit,harrishealthtx.new.swagit.com,,1,City of Houston,city-of-houston-jun-30-2025-board-meetings-harris-health-system,https://harrishealthtx.new.swagit.com,Harris Health System,,,,,
swagit,hcpsstv.new.swagit.com,,1,,jul-14-2016-board-of-education-regular-meeting-pt-2-3-consent-agenda-thru-8-adjo,https://hcpsstv.new.swagit.com,Howard County Public Schools,"Howard County Public Schools, MD",us:sd:2400420,"swagit footer reads ""Howard County Public Schools"" -> ""Howard County Public Schools""",,
swagit,hgac.new.swagit.com,,1,,oct-01-2019-local-project-sponsor-workshop-houston-galveston-area-council,https://hgac.new.swagit.com,Houston-Galveston Area Council,,,,,
swagit,lasvirgenesmwd.new.swagit.com,,1,,feb-18-2025-las-virgenes-mwd-board-meeting-las-virgenes-municipal-water-district,https://lasvirgenesmwd.new.swagit.com,Las Virgenes Municipal Water District,,,,,
swagit,lmctvny.new.swagit.com,,1,"TV, NY",tv-ny-2026-01-26-jan-26-2026-village-of-mamaroneck-board-of-trustees-legislative,https://lmctvny.new.swagit.com,"LMC-TV, NY","Mamaroneck (village), NY",us:place:3644831,"slug ""tv-ny-2026-01-26-jan-26-2026-village-of-mamaroneck-board-of-trustees-legislative"" (2 pages) -> ""Village Of Mamaroneck, NY""",,
swagit,lonestargcd.new.swagit.com,,1,,sep-18-2025-open-forum-for-public-water-suppliers-lone-star-groundwater-conserva,https://lonestargcd.new.swagit.com,Lone Star Groundwater Conservation,,,,,
swagit,mankatoaps.new.swagit.com,,1,,jan-23-2024-school-board-mankato-area-public-schools,https://mankatoaps.new.swagit.com,Mankato Area Public Schools,,,,,
swagit,mckinneyisdtx.new.swagit.com,,1,,may-18-2026-school-board-meeting-mckinney-independent-school-district,https://mckinneyisdtx.new.swagit.com,McKinney Independent School District,"McKinney Independent School District, TX",us:sd:4829850,"swagit footer reads ""McKinney Independent School District"" -> ""McKinney Independent School District""",,
swagit,mobilityauthority.new.swagit.com,,1,,sep-07-2016-board-of-directors-central-texas-regional-mobility-authority,https://mobilityauthority.new.swagit.com,Central Texas Regional Mobility Authority,,,,,
swagit,nassaucountysd.new.swagit.com,,1,Nassau County,nassau-county-dec-14-2017-december-14-2017-the-school-board-of-nassau-county-flo,https://nassaucountysd.new.swagit.com,Nassau County School District,"Nassau County School District, FL",us:sd:1201350,"swagit footer reads ""Nassau County School District"" -> ""Nassau County School District""",,
swagit,nctcog.new.swagit.com,,1,,jun-27-2019-white-house-opportunity-zones-and-revitalization-council-roundtable,https://nctcog.new.swagit.com,North Central Texas Council of Governments,,,,,
swagit,norfolkpublicschools.new.swagit.com,,1,,feb-04-2022-school-board-retreat-norfolk-public-schools,https://norfolkpublicschools.new.swagit.com,Norfolk Public Schools,"Norfolk Public Schools, NE",us:sd:3174430,"swagit footer reads ""Norfolk Public Schools"" -> ""Norfolk Public Schools""",,
