page_id,slug,corpus_role,tier_before,platform,tenant_host,source_url,jurisdiction,gov_id_before,tier_after_no_signals,fetched,gov_id_after,tier_after,changed,signals_used,country_after,state_after,ca_province_after
855,mission-2026-03-02-healthcare-in-mission-regular-council-meeting,target,unresolved,escribe,pub-mission.escribemeetings.com,https://pub-mission.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=9ff00d4e-7986-492f-b86f-4c20ddf6b745&Item=51&Tab=attachments&lang=English,Mission,,unresolved,True,,unresolved,False,,us,,
859,notl-2026-01-27-council-meeting,target,unresolved,escribe,pub-notl.escribemeetings.com,https://pub-notl.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=8472bc5a-08da-49b1-b1b5-67be4af4268e&lang=English,Notl,,unresolved,True,,unresolved,False,,ca,,
861,oneinvestmentprogram-2024-11-15-joint-investment-board-special-meeting,target,unresolved,escribe,pub-oneinvestmentprogram.escribemeetings.com,https://pub-oneinvestmentprogram.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=3c2f1544-43d8-4a53-bcf0-5fe4878564a8&lang=English,Oneinvestmentprogram,,unresolved,True,,unresolved,False,,ca,,
862,palm-desert-city-negotiator-2026-06-25-resolutions-related-to-the-adoption-of-th,target,unresolved,escribe,pub-palmdesert.escribemeetings.com,https://pub-palmdesert.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=0d6ff634-3175-40af-b1ba-9f31fdbeceba&Item=42&Tab=attachments&lang=English,Palm Desert City Negotiator,rtr:us:ca:palm-desert-city-negotiator,unverified,True,us:place:0655184,registry,True,org_names,us,CA,
863,paradise-2025-09-02-public-council-meeting,target,unresolved,escribe,pub-paradise.escribemeetings.com,https://pub-paradise.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=27b3cb35-9202-43b8-aff6-b018c285e3ff&lang=English,Town of Paradise,,unresolved,True,,unresolved,False,,us,,
875,rmwb-2026-01-13-council-meeting,target,unresolved,escribe,pub-rmwb.escribemeetings.com,https://pub-rmwb.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=69b8392a-f127-4d71-ab9a-b56599712216&lang=English,Rmwb,,unresolved,True,,unresolved,False,,us,,
877,salinecounty-2026-01-20-board-of-county-commissioners,target,unresolved,escribe,pub-salinecounty.escribemeetings.com,https://pub-salinecounty.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=3966f7b8-157d-4697-8a3a-979ae42ffca9&lang=English,Saline County,,unresolved,True,,unresolved,False,,us,,
892,twpec-2025-11-03-committee-of-the-whole-community-development,target,unresolved,escribe,pub-twpec.escribemeetings.com,https://pub-twpec.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=01c1fb07-f4b6-4e7d-aa7e-1240a3132782&lang=English,Twpec,,unresolved,True,,unresolved,False,,us,,
906,white-rock-sd-2025-10-20-2025-events-year-in-review-regular-council-meeting,target,unresolved,escribe,pub-whiterockcity.escribemeetings.com,https://pub-whiterockcity.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=442b3a03-fa4a-43cb-a603-3fedd563ac8d&Item=39&Tab=attachments&lang=English,City of White Rock,,unresolved,True,ca:csd:5915007,registry,True,postal_codes,ca,BC,BC
910,city-of-las-vegas-internet-address-2026-07-15-clv-07-15-2026-city-council-meetin,target,unresolved,youtube,lasvegas.primegov.com,https://lasvegas.primegov.com/Portal/Meeting?meetingTemplateId=42874&utm_medium=email&utm_source=govdelivery,City of Las Vegas,us:place:3240000,pinned,True,us:place:3240000,pinned,False,,us,NV,
