gov_id,name,state,country,gov_kind,population,domain,reject_reason,access_mode,rung_answered,bucket,platform,hit_url,final_url,waf_family,note,elapsed_seconds,exception,final_url_is_youtube,direct_file_plausible
38:0643140,Loomis town,CA,us,municipality,6939,loomis.ca.gov,no-platform-link-found,plain,plain,dead,,,https://loomis.ca.gov,none,"reached, hop links checked, no platform link found",21.2,,False,
38:3671894,Suffern village,NY,us,municipality,11537,suffernny.gov,no-platform-link-found,plain,plain,plain,youtube,"https://youtube.com/shorts/tYQSnpxQIyo?feature=share"">",https://suffernny.gov,none,,1.0,,False,
1:2487025,Palmarolle,QC,ca,municipality,1386,www.palmarolle.ao.ca,no-platform-link-found,plain,plain,dead,,,https://palmarolle.ao.ca/fr/,cloudflare,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://palmarolle.ao.ca/fr/
Call log:
  - navigating to ""https://palmarolle.ao.ca/fr/"", waiting until ""load""
",4.1,,False,
37:5509586350,West Sweden town,WI,us,township,,tn.westsweden.wi.gov,no-platform-link-found,plain,plain,dead,,,https://tn.westsweden.wi.gov,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://tn.westsweden.wi.gov/
Call log:
  - navigating to ""https://tn.westsweden.wi.gov/"", waiting until ""load""
",5.9,,False,
36:47091,Johnson County,TN,us,county,18506,johnsoncountytn.org,no-platform-link-found,plain,plain,dead,,,https://johnsoncountytn.org,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://johnsoncountytn.org/
Call log:
  - navigating to ""https://johnsoncountytn.org/"", waiting until ""load""
",3.7,,False,
38:0652694,Oakdale city,CA,us,municipality,23209,oakdaleca.gov,no-platform-link-found,dead,dead,dead,,,,none,dns-fail on https://oakdaleca.gov; dns-fail on https://www.oakdaleca.gov; dns-fail on http://oakdaleca.gov,4.1,,False,
1:4815027,Ghost Lake,AB,ca,municipality,82,ghostlake.ca,no-platform-link-found,plain,plain,dead,,,https://ghostlake.ca,none,"reached, hop links checked, no platform link found",32.5,,False,
36:17153,Pulaski County,IL,us,county,4879,pulaskicountyil.net,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/embed/SvwNnvcg3YU?wmode=opaque,https://pulaskicountyil.net/sheriffs-department.html,none,,13.2,,False,
38:2800180,Aberdeen city,MS,us,municipality,4833,aberdeenons.us,no-platform-link-found,dead,dead,dead,,,,none,dns-fail on https://aberdeenons.us; dns-fail on https://www.aberdeenons.us; dns-fail on http://aberdeenons.us,4.0,,False,
38:1931350,Glenwood city,IA,us,municipality,5250,cityofglenwoodia.gov,no-platform-link-found,challenge,challenge,challenge,,,https://beacon.schneidercorp.com/?site=MillsCountyIA,cloudflare,,9.0,,False,
38:1232650,Horseshoe Beach town,FL,us,municipality,173,townofhorseshoebeachfl.com,no-platform-link-found,plain,plain,dead,,,https://www.townofhorseshoebeachfl.com/,cloudflare,"reached, hop links checked, no platform link found",17.9,,False,
38:2729618,Holland city,MN,us,municipality,173,pipestone-county.com,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/watch?v=npSVA_ltinY,https://pipestone-county.com/government/agendas___minutes/index.php,none,,2.8,,False,
1:4813014,Onoway,AB,ca,municipality,966,onoway.ca,no-platform-link-found,plain,plain,dead,,,https://www.onoway.ca/,none,"reached, hop links checked, no platform link found",19.7,,False,
38:3985512,Willoughby Hills city,OH,us,municipality,9986,willoughbyhills-oh.gov,no-platform-link-found,plain,plain,plain,direct_file,https://willoughbyhills-oh.gov/government/mayor/STATE OF CITY FEB 4 2021.MP3,https://willoughbyhills-oh.gov/government/mayor/index.php,cloudflare,,10.8,,False,True
1:4815013,Kananaskis,AB,ca,municipality,156,kananaskisid.ca,no-platform-link-found,plain,plain,dead,,,https://www.kananaskisid.ca/,none,"reached, hop links checked, no platform link found",28.9,,False,
37:2616103020,Ann Arbor charter township,MI,us,township,,www.aatwp.org,no-platform-link-found,plain,plain,dead,,,https://annarbortownship.gov,none,"reached, hop links checked, no platform link found",19.0,,False,
38:4532965,Heath Springs town,SC,us,municipality,852,heathsprings.gov,no-platform-link-found,plain,plain,dead,,,https://heathsprings.gov,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://heathsprings.gov/
Call log:
  - navigating to ""https://heathsprings.gov/"", waiting until ""load""
",4.4,,False,
37:5511929837,Goodrich town,WI,us,township,,goodrich-wi.proudcity.com,no-platform-link-found,plain,plain,dead,,,https://goodrich-wi.proudcity.com,none,"reached, hop links checked, no platform link found",27.4,,False,
36:40019,Carter County,OK,us,county,49135,cartercountyok.us,no-platform-link-found,challenge,challenge,challenge,,,https://extension.okstate.edu/county/carter/index.html?Forwarded=oces/carter,cloudflare,,9.3,,False,
38:3114450,Edgar city,NE,us,municipality,427,ci.edgar.ne.us,no-platform-link-found,plain,plain,dead,,,https://ci.edgar.ne.us,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://ci.edgar.ne.us/
Call log:
  - navigating to ""https://ci.edgar.ne.us/"", waiting until ""load""
",3.3,,False,
37:5001935575,Irasburg town,VT,us,township,,irasburgvt.com,no-platform-link-found,plain,plain,dead,,,https://pikatec.com/,cloudflare,"reached, hop links checked, no platform link found",7.6,,False,
38:1938415,Inwood city,IA,us,municipality,962,inwoodiowa.com,no-platform-link-found,plain,plain,dead,,,https://inwoodiowa.com,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://inwoodiowa.com/
Call log:
  - navigating to ""https://inwoodiowa.com/"", waiting until ""load""
",3.3,,False,
37:2501582175,Worthington town,MA,us,township,,www.worthington-ma.us,no-platform-link-found,blocked-browser-headers,none,dead,,,,none,403 under both plain and browser headers,2.9,,False,
1:2415058,Saint-Siméon,QC,ca,municipality,1126,www.saintsimeon.ca,no-platform-link-found,plain,plain,dead,,,https://www.saintsimeon.ca,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.saintsimeon.ca/
Call log:
  - navigating to ""https://www.saintsimeon.ca/"", waiting until ""load""
",3.5,,False,
37:3609528981,Gilboa town,NY,us,township,,gilboatown-ny.gov,no-platform-link-found,plain,plain,dead,,,https://gilboatown-ny.gov,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://gilboatown-ny.gov/
Call log:
  - navigating to ""https://gilboatown-ny.gov/"", waiting until ""load""
",3.5,,False,
38:1687850,Winchester city,ID,us,municipality,366,winchesterid.gov,no-platform-link-found,plain,plain,dead,,,https://winchesterid.gov,cloudflare,"reached, hop links checked, no platform link found",18.4,,False,
38:3648593,Morrisville village,NY,us,municipality,1734,morrisvilleny.com,no-platform-link-found,plain,plain,dead,,,https://www.morrisvilleny.com/,none,"reached, hop links checked, no platform link found",14.8,,False,
1:4701022,Estevan No. 5,SK,ca,municipality,1279,www.rmestevan.ca,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/user/Wix,https://www.rmestevan.ca,cloudflare,,0.4,,False,
38:3678663,Waterville village,NY,us,municipality,1512,villageofwaterville.gov,no-platform-link-found,plain,plain,dead,,,https://villageofwaterville.gov,none,"reached, hop links checked, no platform link found",21.8,,False,
38:1203250,Baldwin town,FL,us,municipality,1385,baldwinfl.govoffice2.com,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/watch?v=MiH4QyJWobo,https://baldwinfl.govoffice2.com,none,,0.4,,False,
1:2414045,Saint-Germain,QC,ca,municipality,294,www.munsaintgermain.ca,no-platform-link-found,plain,plain,dead,,,https://www.munsaintgermain.ca,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.munsaintgermain.ca/
Call log:
  - navigating to ""https://www.munsaintgermain.ca/"", waiting until ""load""
",3.3,,False,
38:5533175,Hatley village,WI,us,municipality,655,villageofhatley.org,no-platform-link-found,plain,plain,dead,,,https://villageofhatley.org,none,"reached, hop links checked, no platform link found",19.5,,False,
38:1368600,Santa Claus city,GA,us,municipality,206,cityofsantaclaus.org,no-platform-link-found,plain,plain,dead,,,https://cityofsantaclaus.org,none,"reached, hop links checked, no platform link found",14.0,,False,
1:3559011,Alberton,ON,ca,municipality,954,www.alberton.ca,no-platform-link-found,plain,plain,dead,,,https://alberton.ca/,none,"reached, hop links checked, no platform link found",26.7,,False,
1:4802029,Vauxhall,AB,ca,municipality,1286,town.vauxhall.ab.ca,no-platform-link-found,plain,plain,dead,,,https://town.vauxhall.ab.ca/wp/,none,"reached, hop links checked, no platform link found",18.5,,False,
38:1963975,Pocahontas city,IA,us,municipality,1848,pocahontasiowa.com,no-platform-link-found,plain,plain,plain,youtube,https://youtube.com/live/YGFEXfXaEEE,https://pocahontasiowa.com/government/agendas/,none,,2.8,,False,
1:4806008,Longview,AB,ca,municipality,297,village.longview.ab.ca,no-platform-link-found,plain,plain,plain,direct_file,http://village.longview.ab.ca/wordpress/wp-content/uploads/2025/02/01-21-2025-Regular-Council-meeting-part-1-of-2-audio-.mp3?_=1,https://village.longview.ab.ca/wordpress/council-meetings-audio/,none,,5.5,,False,True
1:4812024,Vilna,AB,ca,municipality,268,vilna.ca,no-platform-link-found,plain,plain,dead,,,https://www.vilna.ca/,cloudflare,"reached, hop links checked, no platform link found",18.3,,False,
1:2419090,La Durantaye,QC,ca,municipality,782,www.munladurantaye.qc.ca,no-platform-link-found,plain,plain,dead,,,https://www.munladurantaye.qc.ca,cloudflare,"reached, hop links checked, no platform link found",15.4,,False,
