gov_id,name,state,population,domain,hub_url,hub_fetch_status,home_fetch_status,hop_candidates_checked,fetches_used,outcome,platform,hit_url,hit_source,needs_listing_discovery,all_platforms_found,note,error
38:4558030,Port Royal town,SC,16507,https://portroyal.org,https://www.portroyal.org/DocumentCenter/View/1899/TOWN-OF-PORT-ROYAL-COUNCIL-MEETINGS-FOR-2026,ok,ok,9,9,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://portroyal.org/agendacenter (source=home_page_anchor); excluded non-actionable hit: civicplus https://portroyal.org/agendacenter (source=home_icon_shortcut_page_anchor); excluded non-actionable hit: civicplus https://portroyal.org/agendacenter (source=home_hop_link); excluded non-actionable hit: civicplus https://sc-portroyal.civicplus.com/140/Bid-Opportunities (source=home_hop_link); excluded non-actionable hit: civicplus https://portroyal.org/agend,
38:2762698,Stephen city,MN,574,https://stephenmn.com,https://stephenmn.com/agendas,ok,ok,16,10,no_platform_link_found,,,,False,,"hub_hop_link redirects off-host, not fetched: https://towncloud-core-prod.s3.us-west-2.amazonaws.com/uploads/stephen-mn/meetings/agenda_packet/minutes/108/regular-city-council-meeting_minutes_2026-05-11_192923.pdf; hub_hop_link redirects off-host, not fetched: https://towncloud-core-prod.s3.us-west-2.amazonaws.com/uploads/stephen-mn/meetings/agenda_packet/minutes/106/regular-city-council-meeting_minutes_2026-04-13_180707.pdf; home_hop_link redirects off-host, not fetched: https://towncloud-core-",
38:1775614,Tolono village,IL,3581,https://tolonoil.us,https://www.tolonoil.us/meetings/,ok,ok,14,10,no_platform_link_found,,,,False,,,
38:5523525,Ellsworth village,WI,3341,https://villageofellsworth.org,https://villageofellsworth.org/agendas-minutes,ok,ok,8,10,no_platform_link_found,,,,False,,challenge at hub_hop_link (https://villageofellsworth.org/board-meeting-archive); challenge at hub_hop_link (https://villageofellsworth.org/committee-archived-meetings),
38:4770400,Spring City town,TN,1996,https://townofspringcitytn.org,https://www.townofspringcitytn.com/agendas_minutes_boc.html,ok,redirect_off_host,8,10,no_platform_link_found,,,,False,,"domain home redirects off-host, not fetched: http://townofspringcitytn.com/",
36:23011,Kennebec County,ME,128461,https://kennebec.gov,https://kennebec.gov/commissioners/minutes/,ok,ok,14,10,platform_found,direct_file,https://kennebec.gov/media/audio/commissioners/2026-09-01-Commissioners-Meeting.mp3,hub_hop_link_page_anchor,False,direct_file:https://kennebec.gov/media/audio/commissioners/2026-09-01-Commissioners-Meeting.mp3,,
1:4705074,Melville,SK,4493,https://melville.ca,https://melville.ca/agendas-minutes,ok,ok,0,2,platform_found,civicweb,https://melville.civicweb.net/Portal/MeetingTypeList.aspx,hub_page_anchor,False,civicweb:https://melville.civicweb.net/Portal/MeetingTypeList.aspx,,
37:3910383426,Westfield township,OH,,https://westfieldtownship.org,https://westfieldtownship.org/board-of-trustees-minutes/,timeout_then_blocked,ok,8,10,no_platform_link_found,,,,False,,,
38:3752000,Pine Knoll Shores town,NC,1435,https://townofpks.com,https://www.townofpks.com/index,ok,ok,2,4,no_platform_link_found,,,,False,,,
37:4212578432,Union township,PA,,https://uniontwp.com,https://uniontwp.com/announcement/2026-board-of-supervisors-meetings/,ok,ok,10,10,no_platform_link_found,,,,False,,,
38:3950036,Mifflin village,OH,154,https://mifflin-oh.gov,https://mifflin-oh.gov/board-of-trustee-meetings/,ok,ok,5,7,no_platform_link_found,,,,False,,,
38:3615400,Chestnut Ridge village,NY,10746,https://chestnutridgevillage.org,https://chestnutridgevillage.org/minutes/,ok,ok,4,6,no_platform_link_found,,,,False,,,
36:31049,Deuel County,NE,1892,https://deuelcountyne.gov,https://deuelcountyne.gov/county-board/,ok,ok,14,10,no_platform_link_found,,,,False,,,
38:5147144,Louisa town,VA,2201,https://louisacova.portal.civicclerk.com,https://louisava.gov/government/town-board/,ok,ok,0,2,platform_found,youtube,https://www.youtube.com/@TownofLouisa,hub_page_anchor,False,youtube:https://www.youtube.com/@TownofLouisa,,
38:1866852,St. John town,IN,24250,https://stjohnin.gov,https://stjohnin.gov/boards-and-commissions/,ok,ok,0,2,platform_found,youtube,https://www.youtube.com/@TownofStJohnIndiana,hub_page_anchor,False,youtube:https://www.youtube.com/@TownofStJohnIndiana,,
38:3901420,Alliance city,OH,21523,https://cityofalliance.com,https://cityofalliance.com/DocumentCenter/View/110/Permit-renewal-and-IWQ?bidId=,ok,ok,8,9,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://cityofalliance.com/agendacenter (source=home_page_anchor); excluded non-actionable hit: civicplus https://cityofalliance.com/agendacenter (source=home_hop_link); excluded non-actionable hit: civicplus https://cityofalliance.com/agendacenter (source=home_hop_link_page_anchor); excluded non-actionable hit: civicplus https://cityofalliance.com/agendacenter (source=home_hop_link_page_anchor); excluded non-actionable hit: civicplus https://cityofalliance,
36:13085,Dawson County,GA,33748,https://dawsoncountyga.gov,https://www.dawsoncountyga.gov/129,challenge,challenge,0,2,hub_and_home_unreachable,,,,False,,hub_url is behind a human-verification challenge; stopped there; domain home is behind a human-verification challenge; stopped there,
38:1709798,Burnham village,IL,3916,https://burnham-il.gov,https://www.burnham-il.gov/burnhamilmeetingdocuments,ok,ok,0,2,platform_found,youtube,https://www.youtube.com/@VillageofBurnham,hub_page_anchor,False,youtube:https://www.youtube.com/@VillageofBurnham,,
