tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,needs_plumbing
www.youtube.com,channel=@BirchwoodVillage,us:place:2706058,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/birchwood-village-mn-2026-07-14-july-2026-city-council-meeting; owner title ""City of Birchwood Village""",Birchwood Village city,1,True
www.youtube.com,channel=@BladensburgMD,us:place:2407850,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/bladensburg-md-2026-07-15-work-session-july-13-2026; owner title ""Town of Bladensburg""",Bladensburg town,1,True
www.youtube.com,channel=@BonnerSpringsKS,us:place:2007975,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/bonner-springs-ks-2021-09-28-september-27-2021-city-council-meeting; owner title ""City of Bonner Springs, Kansas""",Bonner Springs city,1,True
www.youtube.com,channel=@Borough-of-Tinton-Falls,us:place:3473020,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/tinton-falls-nj-2026-08-11-tinton-falls-council-meeting-8-11-2026; owner title ""Tinton Falls""",Tinton Falls borough,1,True
www.youtube.com,channel=@BoroughRoseland,us:place:3464590,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/borough-of-roseland-nj-2026-08-11-borough-council-meeting-august-11-2026; owner title ""Borough of Roseland, NJ""",Roseland borough,1,True
www.youtube.com,channel=@BoroughofJeffersonHills,us:place:4237955,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/borough-of-jefferson-hills-pa-2026-08-11-council-voting-meeting-8-10-26; owner title ""Borough of Jefferson Hills""",Jefferson Hills borough,1,True
www.youtube.com,channel=@BoroughofMonmouthBeach,us:place:3447130,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/monmouth-beach-nj-2026-08-28-monmouth-beach-board-of-commissioners-meeting-8-26; owner title ""Borough of Monmouth Beach""",Monmouth Beach borough,1,True
www.youtube.com,channel=@BoroughofRedBank,us:place:3462430,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/red-bank-nj-2026-09-03-zoning-board-of-adjustment-meeting; owner title ""Borough of Red Bank""",Red Bank borough,1,True
www.youtube.com,channel=@BossierCityParishMPC,us:place:2208920,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/bossier-city-la-2026-08-31-bossier-city-parish-board-of-adjustments-regular-meet; owner title ""Bossier City-Parish MPC""",Bossier City city,1,True
www.youtube.com,channel=@BoundaryCounty_9B,us:county:16021,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/boundary-county-id-2026-07-07-boundary-county-courthouse-2026-09-07-07-20; owner title ""Boundary County""",Boundary County,1,True
www.youtube.com,channel=@BowenIslandMunicipality,ca:csd:5915062,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/bowen-island-bc-2026-07-27-regular-council-27-jul-2026; owner title ""Bowen Island Municipality""",Bowen Island,1,True
www.youtube.com,channel=@BremertonParks,us:place:5307695,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/2026-08-26-parks-rec-commission-meeting-august-25-2026; owner title ""Bremerton Parks""",Bremerton city,1,True
www.youtube.com,channel=@BrisbaneCA,us:place:0608310,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/brisbane-ca-2026-07-23-planning-commission-meeting; owner title ""BrisbaneCA""",Brisbane city,1,True
www.youtube.com,channel=@BrookingsCounty,us:county:46011,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/brookings-county-sd-2026-05-05-brookings-county-commission-meeting-5-5-2026; owner title ""Brookings County""",Brookings County,2,True
www.youtube.com,channel=@COPearland,us:place:4856348,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/city-of-pearland-tx-2026-08-24-city-council-special-meeting-aug-24-2026; owner title ""City of Pearland""",Pearland city,1,True
www.youtube.com,channel=@CTNAnnArbor,us:place:2603000,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/city-of-ann-arbor-mi-2026-01-20-ann-arbor-city-council-meeting-1-20-26; owner title ""CTN Ann Arbor""",Ann Arbor city,2,True
www.youtube.com,channel=@CTNCoonRapids,us:place:2713114,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/coon-rapids-mn-2026-08-04-city-council-meeting-8-3-26; owner title ""CTN Coon Rapids""",Coon Rapids city,1,True
www.youtube.com,channel=@CTOMeetings,us:place:0678582,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/city-of-thousand-oaks-ca-2026-01-12-planning-commission-meeting-january-12-2026; owner title ""CTO Meetings""",Thousand Oaks city,2,True
www.youtube.com,channel=@CarrollmediacenterOrg,us:place:2476550,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/sykesville-md-2026-06-25-sykesville-parks-and-recreation-commission-sparc-meetin; owner title ""Community Media Center""",Sykesville town,2,True
www.youtube.com,channel=@CarteretCountyTV,us:county:37031,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/carteret-nc-2026-06-24-board-of-commissioners-special-meeting-june-24th; owner title ""Carteret County Government""",Carteret County,1,True
www.youtube.com,channel=@ChesapeakeBeachMD,us:place:2415925,fallback,archive_study_2026-09-09,"33 solidly-identified archive page(s), e.g. /m/town-of-chesapeake-beach-md-2026-04-07-april-7-2026-town-council-work-session; owner title ""Town of Chesapeake Beach""",Chesapeake Beach town,33,True
www.youtube.com,channel=@ChesterfieldTownshipMI,us:cousub:2609915340,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/chesterfield-township-2025-12-22-special-township-board-22-dec-2025; owner title ""Chesterfield Township, MI""",Chesterfield township,2,True
www.youtube.com,channel=@CityFSJ,ca:csd:5955034,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/fort-st-john-bc-2026-08-24-committee-of-the-whole-24-aug-2026; owner title ""City of Fort St. John""",Fort St. John,1,True
