input_set,jurisdiction,gov_name,gov_type,tenant_host,platform,evidence
archive,La,La,other,laquinta.cablecast.tv,cablecast,"'La' names no government on laquinta.cablecast.tv, whose pages resolve to us:place:0640354, and its only state came from that tenant"
archive,La,La,other,laquinta.cablecast.tv,cablecast,"'La' names no government on laquinta.cablecast.tv, whose pages resolve to us:place:0640354, and its only state came from that tenant"
archive,City of Las Vegas,City of Las Vegas,municipality,lasvegas.primegov.com,youtube,no state for 'City of Las Vegas'
archive,City of Las Vegas,City of Las Vegas,municipality,lasvegas.primegov.com,youtube,no state for 'City of Las Vegas'
archive,City of Las Vegas,City of Las Vegas,municipality,lasvegas.primegov.com,youtube,no state for 'City of Las Vegas'
archive,City of Las Vegas,City of Las Vegas,municipality,lasvegas.primegov.com,youtube,no state for 'City of Las Vegas'
archive,City of Las Vegas,City of Las Vegas,municipality,lasvegas.primegov.com,youtube,no state for 'City of Las Vegas'
archive,City of Las Vegas,City of Las Vegas,municipality,lasvegas.primegov.com,youtube,no state for 'City of Las Vegas'
archive,City of Las Vegas,City of Las Vegas,municipality,lasvegas.primegov.com,youtube,no state for 'City of Las Vegas'
ledger,City of Las Vegas,City of Las Vegas,municipality,lasvegas.primegov.com,,no state for 'City of Las Vegas'
archive,Municode Portal,Municode Portal,other,laurel-md.municodemeetings.com,youtube,"'Municode Portal' names no government on laurel-md.municodemeetings.com, whose pages resolve to us:place:2445900, and its only state came from that tenant"
archive,La Usd,La Usd,school_district,lausd.granicus.com,granicus,no state for 'La Usd'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,lcd.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,lcpsnm.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Lethbridge County,Lethbridge County,county,lethcounty.civicweb.net,youtube,no state for 'Lethbridge County'
archive,Lethbridge County,Lethbridge County,county,lethcounty.civicweb.net,youtube,no state for 'Lethbridge County'
ledger,Lethbridge County,Lethbridge County,county,lethcounty.civicweb.net,,no state for 'Lethbridge County'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,lewisvilleisd.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Lexington-Fayette Urban County Government,Lexington-Fayette Urban County Government,county,lfucg.granicus.com,granicus,no state for 'Lexington-Fayette Urban County Government'
archive,City of Lincoln,City of Lincoln,municipality,lincolnil.gov,youtube,no state for 'City of Lincoln'
archive,Long Island Power Authority,Long Island Power Authority,special_district,lipower.granicus.com,granicus,no state for 'Long Island Power Authority'
archive,"TV, NY",TV,special_district,lmctvny.new.swagit.com,swagit,"not a government name: 'TV, NY'"
archive,City of Lockport,City of Lockport,municipality,lockport.granicus.com,granicus,no state for 'City of Lockport'
archive,City of Longmont For The Fiscal,City of Longmont For The Fiscal,municipality,longmont.primegov.com,youtube,"'City of Longmont For The Fiscal' names no government on longmont.primegov.com, whose pages resolve to us:place:0845970, and its only state came from that tenant"
archive,City of Longview,City of Longview,municipality,longviewtexas.gov,youtube,no state for 'City of Longview'
archive,LOSSAN - OCTA,LOSSAN - OCTA,other,lossan.granicus.com,granicus,no state for 'LOSSAN - OCTA'
archive,City of Lees Summit,City of Lees Summit,municipality,lsmo.granicus.com,granicus,no state for 'City of Lees Summit'
archive,Madeira Beach Florida Meetings Hub,Madeira Beach Florida Meetings Hub,other,madeirabeach-fl.municodemeetings.com,youtube,"'Madeira Beach Florida Meetings Hub' names no government on madeirabeach-fl.municodemeetings.com, whose pages resolve to us:place:1242400, and its only state came from that tenant"
archive,Township of Mapleton,Township of Mapleton,township,mapleton.civicweb.net,youtube,no state for 'Township of Mapleton'
archive,Township of Mapleton,Township of Mapleton,township,mapleton.civicweb.net,youtube,no state for 'Township of Mapleton'
archive,Township of Mapleton,Township of Mapleton,township,mapleton.civicweb.net,youtube,no state for 'Township of Mapleton'
ledger,Township of Mapleton,Township of Mapleton,township,mapleton.civicweb.net,,no state for 'Township of Mapleton'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,matanuska.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,matatransit.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,Montgomery County,Montgomery County,county,mc-ala.civicweb.net,youtube,no state for 'Montgomery County'
archive,City of Mesa,City of Mesa,municipality,mesa.legistar.com,youtube,no state for 'City of Mesa'
archive,City of Mesa,City of Mesa,municipality,mesa.legistar.com,youtube,no state for 'City of Mesa'
archive,City of Mesa,City of Mesa,municipality,mesa.legistar.com,youtube,no state for 'City of Mesa'
archive,City of Mesa,City of Mesa,municipality,mesa.legistar.com,youtube,no state for 'City of Mesa'
ledger,City of Mesa,City of Mesa,municipality,mesa.legistar.com,,no state for 'City of Mesa'
archive,Metra Railroad,Metra Railroad,other,metrarr.granicus.com,granicus,no state for 'Metra Railroad'
archive,Metrolink,Metrolink,other,metrolink.granicus.com,granicus,no state for 'Metrolink'
ledger,Caledonia Township,Caledonia Township,township,mi-caledoniachartertownship.civicplus.com,,"'Caledonia Township' names no government on mi-caledoniachartertownship.civicplus.com, whose pages resolve to us:cousub:2615512520, and its only state came from that tenant"
archive,Modesto Irrigation District,Modesto Irrigation District,special_district,mid.granicus.com,granicus,no state for 'Modesto Irrigation District'
archive,City of Middletown,City of Middletown,municipality,middletown.granicus.com,granicus,no state for 'City of Middletown'
archive,City of Midland,City of Midland,municipality,midland.granicus.com,granicus,no state for 'City of Midland'
archive,City of Millersburg,City of Millersburg,municipality,millersburgoregon.gov,youtube,no state for 'City of Millersburg'
archive,MLGW,MLGW,other,mlgw.iqm2.com,iqm2,no state for 'MLGW'
archive,MLGW,MLGW,other,mlgw.iqm2.com,iqm2,no state for 'MLGW'
archive,The Maryland-National Capital Park & Planning Commission,The Maryland-National Capital Park & Planning Commission,special_district,mncppc.iqm2.com,iqm2,no state for 'The Maryland-National Capital Park & Planning Commission'
archive,The Maryland-National Capital Park & Planning Commission,The Maryland-National Capital Park & Planning Commission,special_district,mncppc.iqm2.com,iqm2,no state for 'The Maryland-National Capital Park & Planning Commission'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,mojavewater.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,Morrisville,Morrisville,other,morrisville.granicus.com,granicus,no state for 'Morrisville'
archive,Mountain View County,Mountain View County,county,mountainviewcounty.civicweb.net,youtube,no state for 'Mountain View County'
archive,Mountain View County,Mountain View County,county,mountainviewcounty.civicweb.net,youtube,no state for 'Mountain View County'
ledger,Mountain View County,Mountain View County,county,mountainviewcounty.civicweb.net,,no state for 'Mountain View County'
archive,Minneapolis Public Schools,Minneapolis Public Schools,school_district,mplsk12mn.granicus.com,granicus,no state for 'Minneapolis Public Schools'
archive,Mw Rd,Mw Rd,other,mwrd.granicus.com,granicus,no state for 'Mw Rd'
archive,City of Nampa,City of Nampa,municipality,nampa.primegov.com,youtube,no state for 'City of Nampa'
archive,City of Nampa,City of Nampa,municipality,nampa.primegov.com,youtube,no state for 'City of Nampa'
archive,City of Nampa,City of Nampa,municipality,nampa.primegov.com,youtube,no state for 'City of Nampa'
ledger,City of Nampa,City of Nampa,municipality,nampa.primegov.com,,no state for 'City of Nampa'
archive,City of Nelson,City of Nelson,municipality,nelson.civicweb.net,youtube,no state for 'City of Nelson'
archive,City of Nelson,City of Nelson,municipality,nelson.civicweb.net,youtube,no state for 'City of Nelson'
ledger,City of Nelson,City of Nelson,municipality,nelson.civicweb.net,,no state for 'City of Nelson'
archive,New Brighton,New Brighton,other,newbrighton.granicus.com,granicus,no state for 'New Brighton'
archive,City of New Carlisle,City of New Carlisle,municipality,newcarlisleohio.gov,youtube,no state for 'City of New Carlisle'
archive,City of Newton,City of Newton,municipality,newtonkansas.civicweb.net,youtube,no state for 'City of Newton'
archive,City of Newton,City of Newton,municipality,newtonkansas.civicweb.net,youtube,no state for 'City of Newton'
ledger,City of Newton,City of Newton,municipality,newtonkansas.civicweb.net,,no state for 'City of Newton'
archive,Township of Newtown,Township of Newtown,township,newtowntownship.civicweb.net,youtube,no state for 'Township of Newtown'
archive,Township of Newtown,Township of Newtown,township,newtowntownship.civicweb.net,youtube,no state for 'Township of Newtown'
ledger,Township of Newtown,Township of Newtown,township,newtowntownship.civicweb.net,,no state for 'Township of Newtown'
archive,Meeting Portal,Meeting Portal,other,northsaanich.civicweb.net,youtube,no state for 'Meeting Portal'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,northsalemschools.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Northern Rockies Regional Municipality,Northern Rockies Regional Municipality,special_district,nr.civicweb.net,youtube,no state for 'Northern Rockies Regional Municipality'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,nrhtx.granicus.com,granicus,"'Unknown Jurisdiction' names no government on nrhtx.granicus.com, whose pages resolve to us:place:4852356, and its only state came from that tenant"
archive,Ny State Assembly,State of Ny,state,nystateassembly.granicus.com,granicus,no state for 'Ny State Assembly'
archive,Oakdale,Oakdale,other,oakdalemn.gov,youtube,no state for 'Oakdale'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,olelo.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,onelakewood.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,Oregon Metro Council,Oregon Metro Council,other,oregonmetro.granicus.com,granicus,no state for 'Oregon Metro Council'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,oregonpuc.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Park County,Park County,county,parkcounty.granicus.com,granicus,no state for 'Park County'
archive,City of Pasadena,City of Pasadena,municipality,pasadena.granicus.com,granicus,no state for 'City of Pasadena'
archive,City of Pasadena,City of Pasadena,municipality,pasadena.granicus.com,granicus,no state for 'City of Pasadena'
archive,City of Pasadena,City of Pasadena,municipality,pasadena.granicus.com,granicus,no state for 'City of Pasadena'
archive,City of Pasadena,City of Pasadena,municipality,pasadena.granicus.com,granicus,no state for 'City of Pasadena'
ledger,City of Pasadena,City of Pasadena,municipality,pasadena.granicus.com,,no state for 'City of Pasadena'
archive,Pasadena Community College,Pasadena Community College,school_district,pasadenaedu.granicus.com,granicus,no state for 'Pasadena Community College'
archive,Pcb Gov,Pcb Gov,other,pcbgov.granicus.com,granicus,"'Pcb Gov' names no government on pcbgov.granicus.com, whose pages resolve to us:place:1254725, and its only state came from that tenant"
archive,the Town of Perth,the Town of Perth,other,perth.civicweb.net,youtube,no state for 'the Town of Perth'
archive,City of Phoenix,City of Phoenix,municipality,phoenix.legistar.com,youtube,no state for 'City of Phoenix'
ledger,Phoenix,Phoenix,other,phoenix.legistar.com,,no state for 'Phoenix'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,pioneercommunityenergy.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,ElPaso County Colorado,ElPaso County Colorado,county,play.champds.com,champds,no state for 'ElPaso County Colorado'
archive,City of Pleasant Hill,City of Pleasant Hill,municipality,pleasanthill.granicus.com,granicus,no state for 'City of Pleasant Hill'
archive,City of Pleasant Hill,City of Pleasant Hill,municipality,pleasanthill.granicus.com,granicus,no state for 'City of Pleasant Hill'
ledger,City of Pleasant Hill,City of Pleasant Hill,municipality,pleasanthill.granicus.com,,no state for 'City of Pleasant Hill'
archive,City of Portage,City of Portage,municipality,portagein.gov,youtube,no state for 'City of Portage'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,portofla.granicus.com,granicus,not a government name: 'Unknown Jurisdiction'
archive,Unknown Jurisdiction,Unknown Jurisdiction,other,portofsandiego.granicus.com,granicus,no state for 'Unknown Jurisdiction'
archive,Town of Princeton,Town of Princeton,municipality,princeton.civicweb.net,youtube,no state for 'Town of Princeton'
archive,Town of Princeton,Town of Princeton,municipality,princeton.civicweb.net,youtube,no state for 'Town of Princeton'
archive,Town of Princeton,Town of Princeton,municipality,princeton.civicweb.net,youtube,no state for 'Town of Princeton'
ledger,Town of Princeton,Town of Princeton,municipality,princeton.civicweb.net,,no state for 'Town of Princeton'
