input_set,gov_id,gov_name,gov_type,tier,jurisdiction,tenant_host,evidence
archive,rtr:us:xx:pleasant-hill,City of Pleasant Hill,municipality,pinned,City of Pleasant Hill,pleasanthill.granicus.com,tenant_overrides.csv pleasanthill.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:pleasant-hill,City of Pleasant Hill,municipality,pinned,City of Pleasant Hill,pleasanthill.granicus.com,tenant_overrides.csv pleasanthill.granicus.com source=jurisdiction_overrides
ledger,rtr:us:xx:pleasant-hill,City of Pleasant Hill,municipality,pinned,City of Pleasant Hill,pleasanthill.granicus.com,tenant_overrides.csv pleasanthill.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:plymouth,City of Plymouth,municipality,unverified,City of Plymouth,nwsccc-plymouth.granicus.com,minted from 'City of Plymouth'
archive,rtr:us:xx:plymouth,City of Plymouth,municipality,unverified,City of Plymouth,vimeo.com,minted from 'City of Plymouth'
archive,rtr:us:xx:pontiac,Pontiac,other,unverified,Pontiac,cityofpontiac.cablecast.tv,minted from 'Pontiac'
archive,rtr:us:xx:pontiac,Pontiac,other,unverified,Pontiac,cityofpontiac.cablecast.tv,minted from 'Pontiac'
archive,rtr:us:xx:pontiac,Pontiac,other,unverified,Pontiac,cityofpontiac.cablecast.tv,minted from 'Pontiac'
archive,rtr:us:xx:port-colborne-resolution,Port Colborne Resolution,special_district,unverified,Port Colborne Resolution,pub-brockton.escribemeetings.com,minted from 'Port Colborne Resolution'
archive,rtr:us:xx:port-hope,Port Hope,special_district,unverified,Port Hope,pub-porthope.escribemeetings.com,minted from 'Port Hope'
archive,rtr:us:xx:port-hope,Port Hope,special_district,unverified,Port Hope,pub-porthope.escribemeetings.com,minted from 'Port Hope'
ledger,rtr:us:xx:port-hope,Port Hope,special_district,unverified,Port Hope,pub-porthope.escribemeetings.com,minted from 'Port Hope'
archive,rtr:us:xx:portage,City of Portage,municipality,unverified,City of Portage,inportageparks.com,minted from 'City of Portage'
archive,rtr:us:xx:portage,City of Portage,municipality,unverified,City of Portage,portagein.gov,minted from 'City of Portage'
archive,rtr:us:xx:portage,Portage,other,unverified,Portage,portagecowi.portal.civicclerk.com,minted from 'Portage'
archive,rtr:us:xx:portage,Portage,other,unverified,Portage,portagemi.cablecast.tv,minted from 'Portage'
archive,rtr:us:xx:portland,Portland,other,unverified,Portland,portlandtn.portal.civicclerk.com,minted from 'Portland'
archive,rtr:us:xx:portland,City of Portland,municipality,unverified,City of Portland,portlandtx.granicus.com,minted from 'City of Portland'
archive,rtr:us:xx:portland,Portland,other,unverified,Portland,portlandme.portal.civicclerk.com,minted from 'Portland'
archive,rtr:us:xx:prescott,Prescott,other,unverified,Prescott,pub-prescott.escribemeetings.com,minted from 'Prescott'
archive,rtr:us:xx:prescott,Prescott,other,unverified,Prescott,prescottwi.gov,minted from 'Prescott'
archive,rtr:us:xx:princeton,Town of Princeton,municipality,unverified,Town of Princeton,princeton.civicweb.net,minted from 'Town of Princeton'
archive,rtr:us:xx:princeton,Town of Princeton,municipality,unverified,Town of Princeton,princeton.civicweb.net,minted from 'Town of Princeton'
archive,rtr:us:xx:princeton,Town of Princeton,municipality,unverified,Town of Princeton,princeton.civicweb.net,minted from 'Town of Princeton'
ledger,rtr:us:xx:princeton,Town of Princeton,municipality,unverified,Town of Princeton,princeton.civicweb.net,minted from 'Town of Princeton'
archive,rtr:us:xx:psr-c-2,Psr C 2,other,unverified,Psr C 2,psrc2.granicus.com,minted from 'Psr C 2'
archive,rtr:us:xx:qathet-regional-district,qathet Regional District,special_district,pinned,qathet Regional District,qathetrd.civicweb.net,tenant_overrides.csv qathetrd.civicweb.net source=auto_derived
archive,rtr:us:xx:ramsey-county,Ramsey County,county,pinned,Ramsey County,ramseycountymn.granicus.com,tenant_overrides.csv ramseycountymn.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:ramsey-county,Ramsey County,county,pinned,Ramsey County,ramseycountymn.granicus.com,tenant_overrides.csv ramseycountymn.granicus.com source=jurisdiction_overrides
archive,rtr:us:xx:redcliff,The Town of Redcliff,other,unverified,The Town of Redcliff,redcliff.civicweb.net,minted from 'The Town of Redcliff'
archive,rtr:us:xx:regional-transportation-authority-chicago,Regional Transportation Authority (Chicago),special_district,unverified,Regional Transportation Authority (Chicago),rtachicago.granicus.com,minted from 'Regional Transportation Authority (Chicago)'
archive,rtr:us:xx:richland-center-wisconsin,Richland Center Wisconsin,other,unverified,Richland Center Wisconsin,www.richlandcenterwi.gov,minted from 'Richland Center Wisconsin'
archive,rtr:us:xx:richmond,City of Richmond,municipality,unverified,City of Richmond,richmond.granicus.com,minted from 'City of Richmond'
archive,rtr:us:xx:richmond,Richmond,other,unverified,Richmond,richmondtx.granicus.com,minted from 'Richmond'
archive,rtr:us:xx:richwood-texas,City of Richwood Texas,municipality,unverified,City of Richwood Texas,richwood-tx.municodemeetings.com,minted from 'City of Richwood Texas'
archive,rtr:us:xx:ride-uta,Ride Uta,other,pinned,Ride Uta,rideuta.granicus.com,tenant_overrides.csv rideuta.granicus.com source=auto_derived+jurisdiction_overrides
archive,rtr:us:xx:ridgecrest,City of Ridgecrest,municipality,unverified,City of Ridgecrest,youtu.be,minted from 'City of Ridgecrest'
archive,rtr:us:xx:ridgecrest,City of Ridgecrest,municipality,unverified,City of Ridgecrest,youtu.be,minted from 'City of Ridgecrest'
archive,rtr:us:xx:riverview,Riverview,other,pinned,Riverview,riverviewmi.cablecast.tv,tenant_overrides.csv riverviewmi.cablecast.tv source=jurisdiction_overrides
archive,rtr:us:xx:riverview,Riverview,other,pinned,Riverview,riverviewmi.cablecast.tv,tenant_overrides.csv riverviewmi.cablecast.tv source=jurisdiction_overrides
archive,rtr:us:xx:riverview,Riverview,other,pinned,Riverview,riverviewmi.cablecast.tv,tenant_overrides.csv riverviewmi.cablecast.tv source=jurisdiction_overrides
archive,rtr:us:xx:riverview,Riverview,other,pinned,City of Riverview,riverviewmi.cablecast.tv,tenant_overrides.csv riverviewmi.cablecast.tv source=jurisdiction_overrides
ledger,rtr:us:xx:riverview,Riverview,other,pinned,City of Riverview,riverviewmi.cablecast.tv,tenant_overrides.csv riverviewmi.cablecast.tv source=jurisdiction_overrides
archive,rtr:us:xx:rmwb,Rmwb,other,unverified,Rmwb,pub-rmwb.escribemeetings.com,minted from 'Rmwb'
archive,rtr:us:xx:rome,City of Rome,municipality,unverified,City of Rome,romega.gov,minted from 'City of Rome'
archive,rtr:us:xx:roosevelt,Roosevelt,other,unverified,Roosevelt,www.youtube.com,minted from 'Roosevelt'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
archive,rtr:us:xx:ross-california,Town of Ross California,municipality,unverified,Town of Ross California,www.townofrossca.gov,minted from 'Town of Ross California'
