gov_id,city_name,state_or_province,platform,outcome,reason,final_seed,title,date,has_segments,segments_count,has_video_url,video_url,has_agenda_only,hand_decision
us:place:2183172,Wilder city,Kentucky,cablecast,skipped,title looks like a non-meeting video: 'Wilder State of the City 2025',https://reflect-campbellcounty.cablecast.tv/internetchannel/show/60286?site=1,Wilder State of the City 2025,2025-11-13,,,,,,
us:place:2267215,St. Francisville town,Louisiana,vimeo,no-platform-link-found,no vimeo link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:2609000,Blissfield village,Michigan,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://blissfield.civicweb.net/filepro/documents?expanded=28),https://blissfield.civicweb.net/filepro/documents?expanded=28,,,,,,,,
us:place:2610160,Breckenridge village,Michigan,vimeo,no-platform-link-found,no vimeo link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:2636800,Harrison city,Michigan,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://cityofharrisonmi.civicweb.net/Portal/),https://cityofharrisonmi.civicweb.net/Portal/,,,,,,,,
us:place:2641340,Ithaca city,Michigan,vimeo,no-platform-link-found,no vimeo link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:2644940,Lake Orion village,Michigan,iqm2,no-meeting-nor-video,resolved but no transcript/agenda/video (https://lakeorionmi.iqm2.com/Citizens/default.aspx),https://lakeorionmi.iqm2.com/Citizens/default.aspx,,,,,,,,
us:place:2657220,New Buffalo city,Michigan,proudcity,no-platform-link-found,no proudcity link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:2674980,South Haven city,Michigan,granicus,candidate_tier3,,https://south-haven.granicus.com/player/clip/663?view_id=4,City Council Joint Housing Workshop,2023-06-09,,,yes,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/south-haven/south-haven_d1a01343-8f12-4a53-8ed1-6fd93cf2bcde.mp4/playlist.m3u8,,
us:place:2688420,Woodland village,Michigan,civicweb,candidate_tier1_2,,https://woodland.civicweb.net/Portal/MeetingInformation.aspx?Id=5913,Planning Commission - 20 Aug 2026,2026-08-20,yes,1075,,,,
us:place:2703574,Barnesville city,Minnesota,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://barnesvillemn.community.diligentoneplatform.com/Portal),https://barnesvillemn.community.diligentoneplatform.com/Portal,,,,,,,,
us:place:2705014,Beltrami city,Minnesota,granicus,candidate_tier3,,https://minnesotapuc.granicus.com/MediaPlayer.php?clip_id=27,PUC Agenda Meeting on 2013-06-06 9:30 AM,2013-06-06,,,yes,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/minnesotapuc/minnesotapuc_51f5189e-6b4b-40b7-8fdd-b7415d69a851.mp4/playlist.m3u8,,
us:place:2712430,Cokato city,Minnesota,viebit,no-meeting-nor-video,resolved but no transcript/agenda/video (http://cokato.viebit.com/),http://cokato.viebit.com/,,,,,,,,
us:place:2719358,Empire city,Minnesota,granicus,no-platform-link-found,no granicus link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:2720078,Excelsior city,Minnesota,civicclerk,candidate_tier3,,https://excelsiormn.portal.civicclerk.com/event/3241/media,Parks and Recreation Commission,2026-08-11,,,yes,https://reflect-lmcc.cablecast.tv/CablecastPublicSite/show/57831?site=1,,
us:place:2734865,Lake St. Croix Beach city,Minnesota,vimeo,no-platform-link-found,no vimeo link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:2736800,Lewiston city,Minnesota,granicus,no-platform-link-found,no granicus link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:2740310,Mapleton city,Minnesota,civicweb,candidate_tier1_2,,https://mapleton.civicweb.net/Portal/MeetingInformation.aspx?Id=359,Committee of Adjustment - 12 Aug 2026,2026-08-12,yes,99,,,,
us:place:2751064,Pine City city,Minnesota,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://pinecitygovoffice.civicweb.net/Portal),https://pinecitygovoffice.civicweb.net/Portal,,,,,,,,
us:place:2754060,Rice Lake city,Minnesota,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://ricelakecitymn.civicweb.net/Portal),https://ricelakecitymn.civicweb.net/Portal,,,,,,,,
us:place:2765956,Two Harbors city,Minnesota,cablecast,candidate_tier3,,https://reflect-two-harbors.cablecast.tv/CablecastPublicSite/show/10633?site=1,City Council Meeting Regular - 8/24/2026,2026-08-24,,,yes,https://reflect-two-harbors.cablecast.tv/store-3/10633-City-Council-Meeting-v1/vod.mp4,,
us:place:2768764,Waverly city,Minnesota,civicweb,candidate_tier1_2,,https://waverly.civicweb.net/Portal/MeetingInformation.aspx?Id=18903,Planning and Zoning Commission - Sep 03 2026,2026-09-03,yes,652,,,,
us:county:30107,Wheatland County,Montana,escribe,no-meeting-nor-video,resolved but no transcript/agenda/video (https://pub-wheatland.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=fea9c5f7-4221-4442-8558-6c1b656247f0&lang=English),https://pub-wheatland.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=fea9c5f7-4221-4442-8558-6c1b656247f0&lang=English,Regular Council,2026-01-13,,,,,,
ca:csd:1302037,St. Stephen,New Brunswick,escribe,no-platform-link-found,no escribe link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:3416660,Deal borough,New Jersey,vimeo,no-platform-link-found,no vimeo link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:3434530,Island Heights borough,New Jersey,telvue,candidate_tier3,,https://videoplayer.telvue.com/player/Oq-7wKYBCUdINOcteEjoqtecwb8aAN1v/stream/1103?fullscreen=true&showtabssearch=false&show_title_description_summary=false&autostart=true,Borough of Island Heights,,,,yes,https://livestream.telvue.com/islandheights1/f7b44cfafd5c52223d5498196c8a2e7b.sdp/playlist.m3u8,,
us:place:3464320,Rocky Hill borough,New Jersey,iqm2,no-meeting-nor-video,resolved but no transcript/agenda/video (http://rockyhillnj.iqm2.com/Citizens/Detail_Motion.aspx?Frame=&MeetingID=1161&MinutesID=1143&MediaPosition=&ID=4331&Type=80&CssClass=%20style=),http://rockyhillnj.iqm2.com/Citizens/Detail_Motion.aspx?Frame=&MeetingID=1161&MinutesID=1143&MediaPosition=&ID=4331&Type=80&CssClass=%20style=,Planning Board Regular Meeting,2018-10-18,,,,,,
us:place:3465400,Saddle River borough,New Jersey,granicus,no-platform-link-found,no granicus link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:3610341,Buchanan village,New York,vimeo,no-meeting-nor-video,resolved but no transcript/agenda/video (https://vimeo.com/605162153),https://vimeo.com/605162153,,,,,,,,
us:place:3622183,East Hampton village,New York,iqm2,no-meeting-nor-video,resolved but no transcript/agenda/video (https://easthamptontown.iqm2.com/Citizens/Default.aspx),https://easthamptontown.iqm2.com/Citizens/Default.aspx,,,,,,,,
us:place:3625967,Fishkill village,New York,iqm2,candidate_tier3,,http://fishkilltownny.iqm2.com/Citizens/SplitView.aspx?Format=Minu&MeetingID=1738&Mode=Video,Town Board Regular Meeting,2022-09-21,,,yes,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/fishkilltownny/1506_480.mp4/playlist.m3u8,,
us:place:3630576,Greenport village,New York,iqm2,no-meeting-nor-video,resolved but no transcript/agenda/video (http://greenportny.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1076&MediaPosition=&ID=2316&CssClass=),http://greenportny.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1076&MediaPosition=&ID=2316&CssClass=,Mayor and Board of Trustees Regular Meeting,2015-06-25,,,,,,
