sgc_code,name,csd_type,province
1201004,Clark's Harbour,T,NS
1201006,Shelburne,MD,NS
1201008,Shelburne,T,NS
1201009,Lockeport,T,NS
1202001,Argyle,MD,NS
1202004,Yarmouth,MD,NS
1202006,Yarmouth,T,NS
1203001,Clare,MD,NS
1203004,Digby,MD,NS
1203006,Digby,T,NS
1204010,Queens,RGM,NS
1205001,"Annapolis, Subd. D",SC,NS
1205004,"Annapolis, Subd. A",SC,NS
1205008,Annapolis Royal,T,NS
1205009,"Annapolis, Subd. B",SC,NS
1205014,"Annapolis, Subd. C",SC,NS
1205016,Middleton,T,NS
1206001,Lunenburg,MD,NS
1206004,Bridgewater,T,NS
1206006,Lunenburg,T,NS
1206008,Mahone Bay,T,NS
1206009,Chester,MD,NS
1207001,"Kings, Subd. A",SC,NS
1207004,Berwick,T,NS
1207011,"Kings, Subd. C",SC,NS
1207012,Kentville,T,NS
1207016,"Kings, Subd. B",SC,NS
1207021,"Kings, Subd. D",SC,NS
1207024,Wolfville,T,NS
1208003,West Hants,RM,NS
1208008,East Hants,MD,NS
1209034,Halifax,RGM,NS
1210001,"Colchester, Subd. C",SC,NS
1210002,Stewiacke,T,NS
1210006,Truro,T,NS
1210008,"Colchester, Subd. B",SC,NS
1210012,"Colchester, Subd. A",SC,NS
1211001,"Cumberland, Subd. A",SC,NS
1211006,"Cumberland, Subd. B",SC,NS
1211009,"Cumberland, Subd. C",SC,NS
1211011,Amherst,T,NS
1211012,Oxford,T,NS
1211014,"Cumberland, Subd. D",SC,NS
1212001,"Pictou, Subd. A",SC,NS
1212004,Pictou,T,NS
1212006,"Pictou, Subd. B",SC,NS
1212008,Westville,T,NS
1212009,Stellarton,T,NS
1212011,"Pictou, Subd. C",SC,NS
1212014,New Glasgow,T,NS
1212016,Trenton,T,NS
1213001,St. Mary's,MD,NS
1213004,Guysborough,MD,NS
1213008,Mulgrave,T,NS
1214001,"Antigonish, Subd. A",SC,NS
1214002,Antigonish,T,NS
1214006,"Antigonish, Subd. B",SC,NS
1215001,"Inverness, Subd. C",SC,NS
1215002,Port Hawkesbury,T,NS
1215006,"Inverness, Subd. B",SC,NS
1215011,"Inverness, Subd. A",SC,NS
1216001,"Richmond, Subd. C",SC,NS
1216006,"Richmond, Subd. A",SC,NS
1216011,"Richmond, Subd. B",SC,NS
1217030,Cape Breton,RGM,NS
1218001,"Victoria, Subd. B",SC,NS
1218006,"Victoria, Subd. A",SC,NS
1301001,Saint Martins,P,NB
1301002,St. Martins,VL,NB
1301004,Simonds,P,NB
1301006,Saint John,C,NB
1301016,Musquash,P,NB
1302001,Grand Manan,P,NB
1302004,Campobello Island,RCR,NB
1302006,West Isles,P,NB
1302008,Lepreau,P,NB
1302011,Pennfield,P,NB
1302012,Blacks Harbour,VL,NB
1302014,Clarendon,P,NB
1302016,Saint George,P,NB
1302018,St. George,TV,NB
1302021,Saint Patrick,P,NB
1302024,Saint Andrews,P,NB
1302026,Saint Andrews,TV,NB
1302028,Saint Croix,P,NB
1302031,Dufferin,P,NB
1302034,Saint Stephen,P,NB
1302037,St. Stephen,TV,NB
1302039,Saint James,P,NB
1302042,Saint David,P,NB
1302044,Dumbarton,P,NB
1302052,Grand Manan,VL,NB
1303001,Blissville,P,NB
1303004,Gladstone,P,NB
1303005,Tracy,VL,NB
1303006,Fredericton Junction,VL,NB
1303008,Lincoln,P,NB
1303011,Burton,P,NB
1303012,Oromocto,TV,NB
1303014,Sheffield,P,NB
1303016,Maugerville,P,NB
1303018,Northfield,P,NB
1304001,Petersville,P,NB
1304004,Gagetown,P,NB
1304005,Gagetown,VL,NB
1304006,Hampstead,P,NB
1304008,Wickham,P,NB
1304011,Cambridge,P,NB
1304013,Cambridge-Narrows,VL,NB
1304014,Johnston,P,NB
1304016,Brunswick,P,NB
1304018,Waterborough,P,NB
1304021,Canning,P,NB
1304022,Minto,VL,NB
1304024,Chipman,P,NB
1304025,Chipman,VL,NB
1305001,Hammond,P,NB
1305004,Upham,P,NB
1305006,Hampton,P,NB
1305007,Hampton,TV,NB
1305008,Rothesay,P,NB
1305011,Westfield,P,NB
1305014,Kingston,P,NB
1305015,Grand Bay-Westfield,TV,NB
1305016,Norton,P,NB
1305018,Norton,VL,NB
1305021,Sussex,P,NB
1305022,Sussex,TV,NB
1305023,Sussex Corner,VL,NB
1305024,Waterford,P,NB
1305026,Cardwell,P,NB
1305028,Havelock,P,NB
1305031,Studholm,P,NB
1305034,Springfield,P,NB
1305036,Kars,P,NB
1305038,Greenwich,P,NB
1305045,Rothesay,TV,NB
1305057,Quispamsis,TV,NB
1306001,Hopewell,P,NB
1306003,Riverside-Albert,VL,NB
1306004,Harvey,P,NB
1306006,Alma,VL,NB
1306007,Alma,P,NB
1306008,Elgin,P,NB
1306011,Hillsborough,P,NB
1306014,Coverdale,P,NB
1306020,Riverview,TV,NB
1306025,Hillsborough,VL,NB
1307001,Westmorland,P,NB
1307002,Port Elgin,VL,NB
1307004,Botsford,P,NB
1307005,Beaubassin East,RCR,NB
1307007,Cap-Pelé,VL,NB
1307008,Sackville,P,NB
1307009,Sackville,TV,NB
1307011,Dorchester,P,NB
1307012,Dorchester,VL,NB
1307013,Memramcook,VL,NB
1307016,Shediac,P,NB
1307019,Moncton,P,NB
1307022,Moncton,C,NB
1307024,Salisbury,P,NB
1307028,Salisbury,VL,NB
1307029,Petitcodiac,VL,NB
1307045,Dieppe,C,NB
1307052,Shediac,TV,NB
1308001,Dundas,P,NB
1308002,Cocagne,RCR,NB
1308004,Wellington,P,NB
1308005,Bouctouche,TV,NB
1308006,Saint Mary,P,NB
1308007,Saint-Antoine,VL,NB
1308008,Saint-Paul,P,NB
1308010,Harcourt,P,NB
1308012,Huskisson,P,NB
1308014,Weldford,P,NB
1308016,Richibucto,P,NB
1308017,Rexton,VL,NB
1308018,Richibucto,TV,NB
1308019,Saint-Charles,P,NB
1308021,Saint-Louis,P,NB
1308022,Saint-Louis de Kent,VL,NB
1308024,Acadieville,P,NB
1308026,Carleton,P,NB
1309001,Hardwicke,P,NB
1309004,Glenelg,P,NB
1309006,Chatham,P,NB
1309011,Derby,P,NB
1309014,Nelson,P,NB
1309016,Rogersville,P,NB
1309017,Rogersville,VL,NB
1309018,Blackville,P,NB
1309019,Blackville,VL,NB
1309021,Blissfield,P,NB
1309022,Doaktown,VL,NB
1309026,Southesk,P,NB
1309027,Upper Miramichi,RCR,NB
1309028,Northesk,P,NB
1309031,Newcastle,P,NB
1309036,Alnwick,P,NB
1309038,Neguac,VL,NB
1309050,Miramichi,C,NB
1310001,New Maryland,P,NB
1310002,New Maryland,VL,NB
1310004,Manners Sutton,P,NB
1310005,Harvey,VL,NB
1310006,McAdam,VL,NB
1310007,McAdam,P,NB
1310008,North Lake,P,NB
1310011,Canterbury,P,NB
1310012,Canterbury,VL,NB
1310013,Meductic,VL,NB
1310014,Dumfries,P,NB
1310016,Prince William,P,NB
1310017,Hanwell,RCR,NB
1310018,Kingsclear,P,NB
1310021,Queensbury,P,NB
1310024,Southampton,P,NB
1310025,Millville,VL,NB
1310026,Bright,P,NB
1310028,Douglas,P,NB
1310031,Saint Marys,P,NB
1310032,Fredericton,C,NB
1310036,Stanley,P,NB
1310037,Stanley,VL,NB
1310054,Nackawic,TV,NB
1311001,Richmond,P,NB
1311004,Woodstock,P,NB
1311006,Woodstock,TV,NB
1311008,Northampton,P,NB
1311011,Brighton,P,NB
1311012,Hartland,TV,NB
1311014,Wakefield,P,NB
1311018,Wilmot,P,NB
1311019,Centreville,VL,NB
1311021,Simonds,P,NB
1311024,Peel,P,NB
1311026,Aberdeen,P,NB
1311027,Florenceville-Bristol,TV,NB
1311028,Kent,P,NB
1311030,Bath,VL,NB
1311031,Wicklow,P,NB
1312001,Andover,P,NB
1312002,Aroostook,VL,NB
1312004,Perth,P,NB
1312006,Perth-Andover,VL,NB
1312008,Gordon,P,NB
1312009,Plaster Rock,VL,NB
1312011,Lorne,P,NB
1312014,Denmark,P,NB
1312016,Grand Falls,P,NB
1312019,Grand Falls,TV,NB
1312021,Drummond,P,NB
1312023,Drummond,VL,NB
1313002,Saint-André,RCR,NB
1313004,Saint-Léonard,P,NB
1313006,Saint-Léonard,TV,NB
1313008,Notre-Dame-de-Lourdes,P,NB
1313011,Sainte-Anne,P,NB
1313012,Sainte-Anne-de-Madawaska,VL,NB
1313014,Rivière-Verte,VL,NB
1313015,Rivière-Verte,P,NB
1313018,Saint-Basile,P,NB
1313022,Saint-Joseph,P,NB
1313024,Saint-Jacques,P,NB
1313027,Edmundston,C,NB
1313028,Madawaska,P,NB
1313031,Haut-Madawaska,RCR,NB
1313037,Lac Baker,VL,NB
1314001,Durham,P,NB
1314003,Colborne,P,NB
1314004,Charlo,VL,NB
1314005,Balmoral,P,NB
1314006,Balmoral,VL,NB
1314008,Dalhousie,P,NB
1314011,Eel River Crossing,VL,NB
1314012,Addington,P,NB
1314013,Atholville,VL,NB
1314014,Campbellton,C,NB
1314015,Tide Head,VL,NB
1314016,Eldon,P,NB
1314017,Dalhousie,TV,NB
1314020,Kedgwick,RCR,NB
1314021,Saint-Quentin,P,NB
1314022,Saint-Quentin,TV,NB
1314025,Belledune,VL,NB
1315002,Tracadie,MRM,NB
1315006,Allardville,P,NB
1315008,Bathurst,P,NB
1315011,Bathurst,C,NB
1315012,Beresford,P,NB
1315013,Pointe-Verte,VL,NB
1315014,Petit-Rocher,VL,NB
1315015,Beresford,TV,NB
1315016,New Bandon,P,NB
1315017,Saint-Léolin,VL,NB
1315019,Paquetville,P,NB
1315020,Paquetville,VL,NB
1315021,Saint-Isidore,P,NB
1315022,Saint-Isidore,VL,NB
1315024,Inkerman,P,NB
1315026,Caraquet,P,NB
1315027,Bas-Caraquet,VL,NB
1315028,Caraquet,TV,NB
1315029,Shippagan,P,NB
1315030,Le Goulet,VL,NB
1315031,Shippagan,TV,NB
1315032,Lamèque,TV,NB
1315033,Sainte-Marie-Saint-Raphaël,VL,NB
1315036,Bertrand,VL,NB
1315037,Nigadoo,VL,NB
1315038,Grande-Anse,VL,NB
1315040,Maisonnette,VL,NB
2401023,Les Îles-de-la-Madeleine,MÉ,QC
2401042,Grosse-Île,MÉ,QC
2402005,Percé,V,QC
2402010,Sainte-Thérèse-de-Gaspé,MÉ,QC
2402015,Grande-Rivière,V,QC
2402028,Chandler,V,QC
2402047,Port-Daniel--Gascons,MÉ,QC
2403005,Gaspé,V,QC
2403010,Cloridorme,CT,QC
2403015,Petite-Vallée,MÉ,QC
2403020,Grande-Vallée,MÉ,QC
2403025,Murdochville,V,QC
2404005,Sainte-Madeleine-de-la-Rivière-Madeleine,MÉ,QC
2404010,Saint-Maxime-du-Mont-Louis,MÉ,QC
2404015,Mont-Saint-Pierre,VL,QC
2404020,Rivière-à-Claude,MÉ,QC
2404025,Marsoui,VL,QC
2404030,La Martre,MÉ,QC
2404037,Sainte-Anne-des-Monts,V,QC
2404047,Cap-Chat,V,QC
2405010,Shigawake,MÉ,QC
2405015,Saint-Godefroi,CT,QC
2405020,Hope Town,MÉ,QC
2405025,Hope,CT,QC
2405032,Paspébiac,V,QC
2405040,New Carlisle,MÉ,QC
2405045,Bonaventure,V,QC
2405050,Saint-Elzéar,MÉ,QC
2405055,Saint-Siméon,PE,QC
2405060,Caplan,MÉ,QC
2405065,Saint-Alphonse,MÉ,QC
2405070,New Richmond,V,QC
2405077,Cascapédia--Saint-Jules,MÉ,QC
2406005,Maria,MÉ,QC
2406013,Carleton-sur-Mer,V,QC
2406020,Nouvelle,MÉ,QC
2406025,Escuminac,MÉ,QC
2406030,Pointe-à-la-Croix,MÉ,QC
2406035,Ristigouche-Partie-Sud-Est,CT,QC
2406040,Saint-André-de-Restigouche,MÉ,QC
2406045,Matapédia,MÉ,QC
2406050,Saint-Alexis-de-Matapédia,MÉ,QC
2406055,Saint-François-d'Assise,MÉ,QC
2406060,L'Ascension-de-Patapédia,MÉ,QC
2407005,Sainte-Marguerite-Marie,MÉ,QC
2407010,Sainte-Florence,MÉ,QC
2407018,Causapscal,V,QC
2407025,Albertville,MÉ,QC
2407030,Saint-Léon-le-Grand,PE,QC
2407035,Saint-Zénon-du-Lac-Humqui,PE,QC
2407040,Sainte-Irène,PE,QC
2407047,Amqui,V,QC
2407057,Lac-au-Saumon,MÉ,QC
2407065,Saint-Alexandre-des-Lacs,PE,QC
2407070,Saint-Tharcisius,PE,QC
2407075,Saint-Vianney,MÉ,QC
2407080,Val-Brillant,MÉ,QC
2407085,Sayabec,MÉ,QC
2407090,Saint-Cléophas,PE,QC
2407095,Saint-Moïse,PE,QC
2407100,Saint-Noël,VL,QC
2407105,Saint-Damase,PE,QC
2408005,Les Méchins,MÉ,QC
2408010,Saint-Jean-de-Cherbourg,PE,QC
2408015,Grosses-Roches,MÉ,QC
2408023,Sainte-Félicité,MÉ,QC
2408030,Saint-Adelme,PE,QC
2408035,Saint-René-de-Matane,MÉ,QC
2408040,Sainte-Paule,MÉ,QC
2408053,Matane,V,QC
2408065,Saint-Léandre,PE,QC
2408073,Saint-Ulric,MÉ,QC
2408080,Baie-des-Sables,MÉ,QC
2409005,La Rédemption,PE,QC
2409010,Saint-Charles-Garnier,PE,QC
2409015,Les Hauteurs,MÉ,QC
2409020,Sainte-Jeanne-d'Arc,PE,QC
2409025,Saint-Gabriel-de-Rimouski,MÉ,QC
2409030,Saint-Donat,PE,QC
2409035,Sainte-Angèle-de-Mérici,MÉ,QC
2409040,Padoue,MÉ,QC
2409048,Métis-sur-Mer,V,QC
2409055,Saint-Octave-de-Métis,PE,QC
2409060,Grand-Métis,MÉ,QC
2409065,Price,VL,QC
2409070,Saint-Joseph-de-Lepage,PE,QC
2409077,Mont-Joli,V,QC
2409085,Sainte-Flavie,PE,QC
2409092,Sainte-Luce,MÉ,QC
2410005,Esprit-Saint,MÉ,QC
2410010,La Trinité-des-Monts,PE,QC
2410015,Saint-Narcisse-de-Rimouski,PE,QC
2410025,Saint-Marcellin,PE,QC
2410030,Saint-Anaclet-de-Lessard,PE,QC
2410043,Rimouski,V,QC
2410060,Saint-Valérien,PE,QC
2410070,Saint-Fabien,PE,QC
2410075,Saint-Eugène-de-Ladrière,PE,QC
2411005,Saint-Clément,MÉ,QC
2411010,Saint-Jean-de-Dieu,MÉ,QC
2411015,Sainte-Rita,MÉ,QC
2411020,Saint-Guy,MÉ,QC
2411025,Saint-Médard,MÉ,QC
2411030,Sainte-Françoise,PE,QC
