geoid,name,state,level
0506930,Greenland Public Schools,AR,unified
0506990,Greenwood School District,AR,unified
0507110,Gurdon School District,AR,unified
0507140,Guy-Perkins Schools,AR,unified
0507170,Hackett Public Schools,AR,unified
0507230,Hampton School District,AR,unified
0507290,Harmony Grove School District,AR,unified
0507320,Harmony Grove School District,AR,unified
0507350,Harrisburg School District,AR,unified
0507380,Harrison School District,AR,unified
0507530,Hazen School District,AR,unified
0507560,Heber Springs School District,AR,unified
0507620,Hector School District,AR,unified
0507680,Helena-West Helena School District,AR,unified
0507710,Hermitage School District,AR,unified
0507740,Cross County School District,AR,unified
0507770,Highland School District,AR,unified
0507840,Hope School District,AR,unified
0507860,Horatio School District,AR,unified
0507890,Hot Springs School District,AR,unified
0507920,Jessieville School District,AR,unified
0507990,Hoxie School District,AR,unified
0508040,West Memphis School District,AR,unified
0508130,Huntsville School District,AR,unified
0508240,Jasper School District,AR,unified
0508280,Jonesboro Public Schools,AR,unified
0508340,Junction City School District,AR,unified
0508400,Riverview School District,AR,unified
0508490,Kirby School District,AR,unified
0508610,Lake Hamilton School District,AR,unified
0508640,Lakeside School District,AR,unified
0508670,Lakeside School District,AR,unified
0508700,Lamar School District,AR,unified
0508730,Lavaca Public Schools,AR,unified
0508940,Lincoln School District,AR,unified
0509000,Little Rock School District,AR,unified
0509060,Lonoke School District,AR,unified
0509150,Magazine Schools,AR,unified
0509190,Magnet Cove School District,AR,unified
0509240,Malvern Special School District,AR,unified
0509270,Mammoth Spring Schools,AR,unified
0509330,Mansfield School District,AR,unified
0509360,Lee County School District,AR,unified
0509390,Marion School District,AR,unified
0509420,Marked Tree School District,AR,unified
0509480,Searcy County School District,AR,unified
0509510,Marvell School District,AR,unified
0509540,Mayflower School District,AR,unified
0509570,Maynard School District,AR,unified
0509600,McCrory School District,AR,unified
0509630,McGehee School District,AR,unified
0509720,Melbourne School District,AR,unified
0509750,Mena Public Schools,AR,unified
0509780,Mineral Springs School District,AR,unified
0509840,Monticello School District,AR,unified
0509990,Mount Ida School District,AR,unified
0510080,Mount Vernon-Enola School District,AR,unified
0510170,Mountain Pine School District,AR,unified
0510200,Mountain View School District,AR,unified
0510260,Mountainburg Schools,AR,unified
0510290,Mulberry School District,AR,unified
0510320,South Pike County School District,AR,unified
0510380,Nashville School District,AR,unified
0510410,Nemo Vista School District,AR,unified
0510440,Nettleton School District,AR,unified
0510560,Norfork Schools,AR,unified
0510680,North Little Rock School District,AR,unified
0510920,Omaha School District,AR,unified
0510950,Osceola School District,AR,unified
0510980,Ouachita School District,AR,unified
0511010,Ozark School District,AR,unified
0511070,Pangburn School District,AR,unified
