tenant_host,state,source,evidence
carvermn.granicus.com,MN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
carync.iqm2.com,NC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
casagrandeaz.new.swagit.com,AZ,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
casco-me.municodemeetings.com,ME,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
casselberryfl.portal.civicclerk.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Casselberry, FL'"
castlepines.granicus.com,CO,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'City of Castle Pines, CO'"
castlerock-co.granicus.com,CO,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Town of Castle Rock'"
cathedralcity.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ccsf.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ccta.primegov.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cedarparktx.granicus.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cedarparktx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cedarrapidsia.new.swagit.com,IA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
centervilleut.portal.civicclerk.com,UT,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
centralelgin.civicweb.net,ON,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
centrewellington.civicweb.net,ON,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cerritos.cablecast.tv,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
cerritos.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chaffeecoco.portal.civicclerk.com,CO,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
chamberscotx.portal.civicclerk.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
champaign-cablecast.cablecast.tv,IL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Champaign, IL'"
champaign.cablecast.tv,IL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Champaign, IL'"
chanhassen.granicus.com,MN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
charlescountymd.cablecast.tv,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
