zcta,place_name,state,area_land_part
06610,Bridgeport city,CT,7973746
06611,Bridgeport city,CT,221270
06702,Waterbury city,CT,1731832
06704,Waterbury city,CT,20916451
06705,Waterbury city,CT,14100829
06706,Waterbury city,CT,9936402
06708,Waterbury city,CT,24469366
06710,Waterbury city,CT,2509599
06750,Bantam borough,CT,2616808
06759,Litchfield borough,CT,3555133
06759,Torrington city,CT,436222
06762,Naugatuck borough,CT,4853
06770,Naugatuck borough,CT,42209325
06770,Waterbury city,CT,197282
06790,Torrington city,CT,102511706
06791,Torrington city,CT,34140
06804,Danbury city,CT,401449
06810,Danbury city,CT,54060313
06811,Danbury city,CT,54393531
06831,Stamford city,CT,3453568
06840,Norwalk city,CT,6433
06850,Norwalk city,CT,17563836
06851,Norwalk city,CT,19907620
06853,Norwalk city,CT,3124072
06854,Norwalk city,CT,12455166
06855,Norwalk city,CT,6186316
06880,Norwalk city,CT,31791
06901,Stamford city,CT,1317475
06902,Stamford city,CT,25940773
06903,Stamford city,CT,45054304
06905,Stamford city,CT,13134838
06906,Stamford city,CT,3494631
06907,Stamford city,CT,5033128
07002,Bayonne city,NJ,15077583
07002,Jersey City city,NJ,3976
07005,Boonton town,NJ,6047012
07006,Caldwell borough,NJ,3051278
07006,North Caldwell borough,NJ,7945473
07008,Carteret borough,NJ,11372511
07010,Cliffside Park borough,NJ,2475441
07010,Ridgefield borough,NJ,1721
07011,Clifton city,NJ,8061436
07012,Clifton city,NJ,5679443
07013,Clifton city,NJ,11463635
07013,Woodland Park borough,NJ,5803
07014,Clifton city,NJ,3706363
07014,Passaic city,NJ,10731
07017,East Orange city,NJ,5854429
07018,East Orange city,NJ,4305311
07020,Edgewater borough,NJ,2515037
07021,Essex Fells borough,NJ,3647513
07022,Fairview borough,NJ,2185075
07023,Fanwood borough,NJ,3469669
07024,Fort Lee borough,NJ,6507743
07026,Garfield city,NJ,5467565
07027,Garwood borough,NJ,1684494
07028,Glen Ridge borough,NJ,3301621
07029,East Newark borough,NJ,265535
07029,Harrison town,NJ,3136888
07030,Hoboken city,NJ,3211050
07030,Jersey City city,NJ,24668
07031,North Arlington borough,NJ,6434384
07032,Kearny town,NJ,22906803
07033,Kenilworth borough,NJ,5559876
07035,Kinnelon borough,NJ,665076
07035,Lincoln Park borough,NJ,16567065
07036,Linden city,NJ,27680795
07043,Clifton city,NJ,265477
07046,Boonton town,NJ,1778
07046,Mountain Lakes borough,NJ,6840438
07055,Passaic city,NJ,8103553
07057,Wallington borough,NJ,2574636
07060,North Plainfield borough,NJ,4863069
07060,Plainfield city,NJ,8075903
07060,South Plainfield borough,NJ,7944
07062,North Plainfield borough,NJ,605846
07062,Plainfield city,NJ,4374158
07063,North Plainfield borough,NJ,1802371
07063,Plainfield city,NJ,2820864
07065,Rahway city,NJ,10090999
07066,Westfield town,NJ,39261
07068,Roseland borough,NJ,9369924
07069,Watchung borough,NJ,15580586
07070,Rutherford borough,NJ,7202944
07072,Carlstadt borough,NJ,10221592
07072,East Rutherford borough,NJ,2572
07073,East Rutherford borough,NJ,9610192
07074,Moonachie borough,NJ,2834803
07075,Wood-Ridge borough,NJ,2884079
07080,South Plainfield borough,NJ,21293202
07081,Summit city,NJ,51554
07082,Lincoln Park borough,NJ,3108
07086,Hoboken city,NJ,26980
07087,Jersey City city,NJ,46342
07087,Union City city,NJ,3333339
07090,Mountainside borough,NJ,51022
07090,Westfield town,NJ,17376146
07092,Mountainside borough,NJ,10299630
07093,Guttenberg town,NJ,499906
07093,West New York town,NJ,2575148
07094,Secaucus town,NJ,15022929
07102,Newark city,NJ,2928660
07103,Newark city,NJ,5573332
07104,Newark city,NJ,6556222
07105,Newark city,NJ,12014824
07106,Newark city,NJ,3669218
07107,East Orange city,NJ,12670
07107,Newark city,NJ,4252807
07108,Newark city,NJ,3572425
07110,Clifton city,NJ,25992
07112,Newark city,NJ,3519599
07114,Newark city,NJ,20444299
07201,Elizabeth city,NJ,16672678
07202,Elizabeth city,NJ,5991582
07203,Roselle borough,NJ,6824647
07204,Roselle Park borough,NJ,3171452
07206,Elizabeth city,NJ,4603041
07208,Elizabeth city,NJ,4638169
07302,Jersey City city,NJ,3711233
07304,Jersey City city,NJ,5323029
07305,Jersey City city,NJ,14763290
07306,Jersey City city,NJ,7735659
07307,Jersey City city,NJ,4855442
07307,Secaucus town,NJ,67441
07310,Jersey City city,NJ,1582971
07311,Jersey City city,NJ,139007
07401,Allendale borough,NJ,8006519
07403,Bloomingdale borough,NJ,15797032
07405,Butler borough,NJ,5267246
07405,Kinnelon borough,NJ,46031053
07407,Elmwood Park borough,NJ,6845113
07410,Fair Lawn borough,NJ,13299693
07416,Franklin borough,NJ,11282194
07417,Franklin Lakes borough,NJ,24379320
07417,Oakland borough,NJ,19762
07419,Hamburg borough,NJ,2964811
07420,Bloomingdale borough,NJ,976717
07420,Wanaque borough,NJ,5253767
07423,Ho-Ho-Kus borough,NJ,4505069
07424,Woodland Park borough,NJ,7606182
07430,Ramsey borough,NJ,23836
07432,Midland Park borough,NJ,4043898
07436,Oakland borough,NJ,22001321
07436,Pompton Lakes borough,NJ,9898
07439,Ogdensburg borough,NJ,5707308
07442,Pompton Lakes borough,NJ,7466687
07446,Allendale borough,NJ,14933
07446,Ramsey borough,NJ,14227709
07450,Midland Park borough,NJ,24367
07450,Ridgewood village,NJ,14870641
07452,Glen Rock borough,NJ,7001974
07456,Ringwood borough,NJ,66273571
07457,Riverdale borough,NJ,5247885
07458,Saddle River borough,NJ,12731515
07458,Upper Saddle River borough,NJ,13604851
07461,Sussex borough,NJ,1536014
07463,Waldwick borough,NJ,5299821
07465,Bloomingdale borough,NJ,6019919
07465,Wanaque borough,NJ,15635992
07470,North Haledon borough,NJ,293846
07470,Totowa borough,NJ,104796
07481,Franklin Lakes borough,NJ,3820
07501,Paterson city,NJ,4662261
07502,Paterson city,NJ,2225338
07503,Paterson city,NJ,4005271
07504,Paterson city,NJ,2155077
07505,Paterson city,NJ,633944
07506,Hawthorne borough,NJ,8594855
07508,Haledon borough,NJ,3146453
07508,North Haledon borough,NJ,8678352
07508,Paterson city,NJ,1693
07508,Prospect Park borough,NJ,1204999
07512,Totowa borough,NJ,10255731
07513,Paterson city,NJ,1470172
07514,Paterson city,NJ,2402445
07522,Paterson city,NJ,2270009
07524,Paterson city,NJ,1963901
07601,Hackensack city,NJ,10855399
07601,River Edge borough,NJ,17039
07603,Bogota borough,NJ,1954486
07604,Hasbrouck Heights borough,NJ,3895218
07604,Moonachie borough,NJ,37710
07604,Teterboro borough,NJ,52782
07605,Englewood city,NJ,11184
07605,Fort Lee borough,NJ,12931
07605,Leonia borough,NJ,3880014
07606,Moonachie borough,NJ,3423
