gov_id,unit_name,web_address
us:place:4841116,"La Marque city, TX",cityoflamarque.gov
us:place:4841440,"La Porte city, TX",laportetx.gov
us:place:4842820,"Lindale city, TX",lindaletx.gov
us:place:4846584,"Marble Falls city, TX",marblefallstx.gov
us:place:4855080,"Paris city, TX",paristexas.gov
us:place:4856000,"Pasadena city, TX",pasadenatx.gov
us:place:4859748,"Providence Village town, TX",pvtx.gov
us:place:4864472,"San Angelo city, TX",sanangelo.gov
us:place:4865726,"Santa Fe city, TX",santafetx.gov
us:place:4868624,"Snyder city, TX",snydertx.gov
us:place:4869020,"South Houston city, TX",southhoustontx.gov
us:place:4870208,"Stephenville city, TX",stephenvilletx.gov
us:place:4871540,"Sweetwater city, TX",sweetwatertx.gov
us:place:4875308,"Vernon city, TX",vernontx.gov
us:place:4876864,"Weatherford city, TX",weatherfordtx.gov
us:place:4876948,"Webster city, TX",webstertx.gov
us:place:4877956,"West University Place city, TX",westutx.gov
us:place:4955210,"North Salt Lake city, UT",nslcity.gov
us:place:5085150,"Winooski city, VT",winooskivt.gov
us:place:5129600,"Franklin city, VA",franklinva.gov
us:place:5129744,"Fredericksburg city, VA",fredericksburgva.gov
us:place:5168000,"Roanoke city, VA",roanokeva.gov
us:place:5170000,"Salem city, VA",salemva.gov
us:place:5173200,"Smithfield town, VA",smithfieldva.gov
us:place:5181280,"Vinton town, VA",vintonva.gov
us:place:5183136,"Warrenton town, VA",warrentonva.gov
us:place:5187712,"Woodstock town, VA",woodstockva.gov
us:place:5306330,"Black Diamond city, WA",blackdiamondwa.gov
us:place:5308920,"Burlington city, WA",burlingtonwa.gov
us:place:5318965,"DuPont city, WA",dupontwa.gov
us:place:5320155,"East Wenatchee city, WA",eastwenatcheewa.gov
us:place:5320645,"Edgewood city, WA",edgewoodwa.gov
us:place:5323795,"Fife city, WA",fifewa.gov
us:place:5335065,"Kelso city, WA",kelso.gov
us:place:5346685,"Monroe city, WA",monroewa.gov
us:place:5347245,"Moses Lake city, WA",moseslakewa.gov
us:place:5347560,"Mount Vernon city, WA",mountvernonwa.gov
us:place:5349485,"North Bend city, WA",northbendwa.gov
us:place:5355785,"Port Orchard city, WA",portorchardwa.gov
us:place:5356695,"Puyallup city, WA",puyallupwa.gov
us:place:5363280,"Selah city, WA",selahwa.gov
us:place:5368260,"Sultan city, WA",sultanwa.gov
us:place:5379590,"Woodinville city, WA",woodinville.gov
us:place:5426452,"Fairmont city, WV",fairmontwv.gov
us:place:5511200,"Burlington city, WI",burlington-wi.gov
