# Long tier-3 meetings (>90 min) swapped out of the queue for a shorter meeting from the same government; re-queue later for depth.
# url<TAB>source_url<TAB>gov_id<TAB>jurisdiction<TAB>duration<TAB>title -- gov_id blank when the identity ladder declined; probe rows stay in tier3_auto_transcription_queue_probe.csv.
https://college-park.granicus.com/MediaPlayer.php?view_id=2&clip_id=1726		rtr:us:md:college-park-city	The City of College Park, MD	3:26:43	Mayor and Council Meeting Sep 1 - Sep 2nd, 2026
https://cosm.granicus.com/MediaPlayer.php?view_id=1&clip_id=777		us:place:0668252	City of San Mateo, CA	3:47:40	Planning Commission on 2019-04-23 7:00 PM - Regular Meeting - Apr 25th, 2019
https://cumberland.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1785		rtr:us:nj:cumberland-county-new-jersey	Cumberland County, New Jersey	1:40:18	Board of County Commissioners Regular Board Meeting
https://elmonte.granicus.com/MediaPlayer.php?view_id=2&clip_id=1532		us:place:0622230	City of El Monte, CA	4:31:08	City Council Meeting 08/26/26
https://lakehavasucity.granicus.com/player/clip/1475?view_id=3		rtr:us:az:lake-havasu-city	City of Lake Havasu, AZ	3:32:37	City Council on 2026-09-08 5:30 PM - Regular Meeting
https://derby.civicweb.net/Portal/MeetingInformation.aspx?Id=6076		us:place:2017800	City of Derby	1:52:55	City Council - 25 Aug 2026
https://imperial.granicus.com/player/clip/2496		us:county:06025	County of Imperial, CA	3:23:30	Board of Supervisors
https://jacksoncomi.portal.civicclerk.com/event/1092/media		us:county:26075	Jackson County, MI	3:53:39	Board of Commissioners Meeting
https://leacountynm.portal.civicclerk.com/event/187/media		us:county:35025	Lea County, NM	3:04:26	Lea County Board of County Commissioners January 16, 2025 Regular Meeting
https://albemarle.granicus.com/player/clip/1452				5:04:40	
https://redmond.granicus.com/player/clip/3124?view_id=2		rtr:us:wa:redmond-city	The City of Redmond, WA	1:38:50	City Council on 2025-06-03 7:00 PM - Business Meeting
https://morgantown.granicus.com/player/clip/897?view_id=2		rtr:us:wv:morgantown-city	The City of Morgantown, WV	3:41:35	City Council Committee of the Whole
https://pub-richmond.escribemeetings.com/Meeting.aspx?Id=109ce607-21c0-4495-9bfc-e2024d85afac&Agenda=Agenda		us:place:0660620	Richmond, CA	8:57:58	Special Closed Session
https://harrisoncountyin.portal.civicclerk.com/event/1068/media	https://www.in.gov/counties/harrison/leadership/meeting-video-recordings/	us:county:18061	Harrison County, IN	2:09:38	September 9, 2026 Council Budget Session
https://guadalupe.granicus.com/ViewPublisher.php?view_id=1	https://www.guadalupetx.gov/page/commcourt.agendas	us:county:48187	Guadalupe County	2:33:34	Main View - Granicus Content
https://lynnhavenfl.portal.civicclerk.com/event/2117/media	https://cityoflynnhaven.gov	us:place:1241825	Lynn Haven, FL	2:17:54	09/09/26 Charter Review Advisory Committee
https://stjosephmo.portal.civicclerk.com/event/1310/media			City of St. Joseph	1:31:57	One Time Event
https://grantconm.portal.civicclerk.com/event/883/media		us:county:35017	Grant County	2:34:28	Board of Commissioners - 2nd  Regular Meeting
https://lantanafl.granicus.com/MediaPlayer.php?view_id=1&clip_id=257		us:place:1239375	Town of Lantana, FL	1:35:24	Town Council Meeting
https://ottawaks.portal.civicclerk.com/event/1023/media		us:place:2053550	Ottawa, KS	1:58:31	City Commission Meeting - 1st Wednesday
https://richfieldmn.portal.civicclerk.com/event/2593/media		us:place:2754214	Richfield, MN	2:07:49	City Council Meeting
https://hcnv.granicus.com/MediaPlayer.php?clip_id=44&view_id=2		us:county:32013	Humboldt County, NV	1:35:36	Humboldt County NV | Post Meeting Steps
https://fishkilltownny.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1904		us:cousub:3602725978	Town of Fishkill, New York	1:38:43	Town Board Regular Meeting
https://hooksett.granicus.com/MediaPlayer.php?clip_id=2917&view_id=2		us:cousub:3301337300	The Town of Hooksett, NH	1:43:28	Town Council - Sep 9th, 2026
https://levycofl.portal.civicclerk.com/event/2038/media		us:county:12075	Levy County, FL	3:15:46	Planning Commission Meeting/Comprehensive Plan Workshop #2
https://minnesotapuc.granicus.com/MediaPlayer.php?clip_id=27			Minnesota Public Utilities Commission	5:49:34	PUC Agenda Meeting on 2013-06-06 9:30 AM
https://brecksvilleoh.portal.civicclerk.com/event/1389/media	https://brecksville.oh.us	us:place:3908364	Brecksville, OH	1:33:18	City Council Committee Meeting
https://pleasantontx.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1372		us:place:4858280	pleasanton, tx	3:43:32	City Council Regular Session
https://lakecounty.granicus.com/player/clip/848?view_id=1&redirect=true		us:county:06033	Lake County	1:47:50	Planning Commission on 2026-06-25 9:00 AM - Please see agenda for public participation information and eComment submission on any agenda item.
https://pembrokeparkfl.portal.civicclerk.com/event/2040/media		us:place:1255750	Pembroke Park, FL	1:46:05	Regular Commission Meeting
https://pub-grand-forks.escribemeetings.com/Meeting.aspx?Id=0a99c7a9-840b-4a61-832d-b6975a2855e5&Agenda=PostMinutes&lang=English		ca:csd:5905032	City of Grand Forks	2:40:59	Regular Meeting
https://crd.ca.granicus.com/MediaPlayer.php?view_id=1&clip_id=3676			Capital Regional District	2:48:38	Capital Regional District Board on 2026-09-09 12:10 PM COPY
# WO-213 (2026-09-11, Ryan): the extra meetings of four governments our own bulk tools queued in volume (#443, #794), trimmed to one governing-body meeting each; any length. Re-queue for depth later.
https://walworthcowi.portal.civicclerk.com/event/2446/media		us:county:55127	Walworth County, WI	0:46:30	
https://walworthcowi.portal.civicclerk.com/event/2550/media		us:county:55127	Walworth County, WI	0:42:21	
https://walworthcowi.portal.civicclerk.com/event/2498/media		us:county:55127	Walworth County, WI	0:42:35	
https://walworthcowi.portal.civicclerk.com/event/2656/media		us:county:55127	Walworth County, WI	0:53:20	
https://walworthcowi.portal.civicclerk.com/event/2115/media		us:county:55127	Walworth County, WI		
https://walworthcowi.portal.civicclerk.com/event/2499/media		us:county:55127	Walworth County, WI	0:07:43	
https://walworthcowi.portal.civicclerk.com/event/2447/media		us:county:55127	Walworth County, WI	1:31:43	
https://losaltoshillsca.portal.civicclerk.com/event/4274/media		us:place:0643294	Los Altos Hills, CA	1:14:45	
https://walworthcowi.portal.civicclerk.com/event/2657/media		us:county:55127	Walworth County, WI	1:16:05	
https://walworthcowi.portal.civicclerk.com/event/2561/media		us:county:55127	Walworth County, WI	0:17:19	
https://losaltoshillsca.portal.civicclerk.com/event/4273/media		us:place:0643294	Los Altos Hills, CA	1:40:50	
https://walworthcowi.portal.civicclerk.com/event/2122/media		us:county:55127	Walworth County, WI	1:48:59	
https://losaltoshillsca.portal.civicclerk.com/event/4519/media		us:place:0643294	Los Altos Hills, CA	1:56:00	
https://walworthcowi.portal.civicclerk.com/event/2500/media		us:county:55127	Walworth County, WI	2:26:52	
https://walworthcowi.portal.civicclerk.com/event/2460/media		us:county:55127	Walworth County, WI	0:20:30	
https://losaltoshillsca.portal.civicclerk.com/event/4520/media		us:place:0643294	Los Altos Hills, CA	0:11:14	
https://losaltoshillsca.portal.civicclerk.com/event/4275/media		us:place:0643294	Los Altos Hills, CA	0:41:33	
https://walworthcowi.portal.civicclerk.com/event/2563/media		us:county:55127	Walworth County, WI	0:53:04	
https://walworthcowi.portal.civicclerk.com/event/2658/media		us:county:55127	Walworth County, WI	1:03:08	
https://losaltoshillsca.portal.civicclerk.com/event/4526/media		us:place:0643294	Los Altos Hills, CA	1:23:14	
https://walworthcowi.portal.civicclerk.com/event/2127/media		us:county:55127	Walworth County, WI	1:46:44	
https://walworthcowi.portal.civicclerk.com/event/2564/media		us:county:55127	Walworth County, WI	1:49:41	
https://walworthcowi.portal.civicclerk.com/event/2659/media		us:county:55127	Walworth County, WI	1:30:42	
https://losaltoshillsca.portal.civicclerk.com/event/4094/media		us:place:0643294	Los Altos Hills, CA		
https://losaltoshillsca.portal.civicclerk.com/event/4315/media		us:place:0643294	Los Altos Hills, CA	1:35:15	
https://walworthcowi.portal.civicclerk.com/event/2461/media		us:county:55127	Walworth County, WI	0:34:28	
https://losaltoshillsca.portal.civicclerk.com/event/4529/media		us:place:0643294	Los Altos Hills, CA	3:28:37	
https://walworthcowi.portal.civicclerk.com/event/2501/media		us:county:55127	Walworth County, WI	0:01:39	
https://walworthcowi.portal.civicclerk.com/event/2145/media		us:county:55127	Walworth County, WI	1:47:34	
https://walworthcowi.portal.civicclerk.com/event/2462/media		us:county:55127	Walworth County, WI	0:30:53	
https://losaltoshillsca.portal.civicclerk.com/event/4314/media		us:place:0643294	Los Altos Hills, CA	1:36:01	
https://walworthcowi.portal.civicclerk.com/event/2506/media		us:county:55127	Walworth County, WI	1:39:39	
