platform,tenant_host,match_value,rows,reason,landing_url,stored_names,example_slug
unknown,oh-sunbury.civicplus.com,,2,multiple_governments,,"us:place:3929148 (Galena, OH)|us:place:3975602 (Sunbury, OH)",
unknown,player.vimeo.com,,2,multiple_governments,,"us:cousub:2609336100 (Hamburg Township, MI)|us:place:0654274 (Orland, CA)",
unknown,portagecowi.portal.civicclerk.com,,2,multiple_governments,,"us:county:55097 (Portage County, WI)|us:place:5564100 (Portage, WI)",
unknown,pwcgov.granicus.com,,2,multiple_governments,,"us:county:51153 (Prince William County, VA)|us:place:5148968 (Manassas Park, VA)",
unknown,reno.primegov.com,,2,multiple_governments,,"rtr:us:nv:reno-logo (City of Reno Logo"", NV)|us:place:3260600 (Reno, NV)",
unknown,richwood-tx.municodemeetings.com,,2,multiple_governments,,"rtr:us:tx:richwood-texas (City of Richwood Texas, TX)|us:place:4861904 (Richwood, TX)",
unknown,rochestermn.granicus.com,,2,multiple_governments,,"rtr:us:mn:rochester-city (Rochester (city), MN)|us:place:2754880 (Rochester (city), MN)",
unknown,santarosacofl.portal.civicclerk.com,,2,multiple_governments,,"us:county:12113 (Santa Rosa County, FL)|us:place:1245750 (Milton, FL)",
unknown,springhillks.gov,,2,multiple_governments,,"rtr:us:ks:spring-hill-city (Spring Hill (city), KS)|us:place:2067625 (Spring Hill (city), KS)",
unknown,tillamookcoor.portal.civicclerk.com,,2,multiple_governments,,"us:county:41057 (Tillamook County, OR)|us:place:4173700 (Tillamook, OR)",
unknown,townofbabylonny.gov,,2,multiple_governments,,"rtr:us:ny:babylon-town (Babylon (town), NY)|us:cousub:3610304000 (Babylon (town), NY)",
unknown,townofchenango.civicweb.net,,2,multiple_governments,,"us:county:36017 (Chenango County, NY)|us:cousub:3600715110 (Chenango Town, NY)",
unknown,uatccta.primegov.com,,2,multiple_governments,,"us:place:0621796 (El Cerrito, CA)|us:place:0668294 (San Pablo, CA)",
unknown,waltoncounty-ga.municodemeetings.com,,2,multiple_governments,,"rtr:us:ga:walton-county-meetings-portal (Walton County Meetings Portal, GA)|us:county:13297 (Walton County, GA)",
unknown,walworthcowi.portal.civicclerk.com,,2,multiple_governments,,"rtr:us:wi:walworth-village (Walworth (village), WI)|us:county:55127 (Walworth County, WI)",
unknown,wi-cottagegrove.civicplus.com,,2,multiple_governments,,"us:cousub:5502517200 (Cottage Grove (town), WI)|us:place:5517175 (Cottage Grove (village), WI)",
unknown,willowpark-tx.municodemeetings.com,,2,multiple_governments,,"rtr:us:tx:willow-park-texas-meetings-hub (Willow Park Texas Meetings Hub, TX)|us:place:4879492 (Willow Park, TX)",
escribe,pub-cambridge.escribemeetings.com,,6,unresolved,https://pub-cambridge.escribemeetings.com,Cambridge|City of Cambridge,cambridge-council-meeting-agenda-meeting-2026-02-03-council-meeting
escribe,pub-lincoln.escribemeetings.com,,4,unresolved,https://pub-lincoln.escribemeetings.com,Lincoln|Town of Lincoln,lincoln-2023-06-19-committee-of-the-whole
escribe,pub-london.escribemeetings.com,,4,unresolved,https://pub-london.escribemeetings.com,City of London,city-of-london-2015-12-07-strategic-priorities-and-policy-committee
