tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,needs_plumbing
www.youtube.com,channel=@CityofBalconesHeights,us:place:4805384,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/balcones-heights-tx-2026-07-22-board-of-adjustment-meeting-july-22-2026; owner title ""City of Balcones Heights""",,1,True
www.youtube.com,channel=@CityofBaldwinGA,us:place:1304980,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/baldwin-ga-2025-10-17-special-called-meeting-pm-october-16-2025; owner title ""City of Baldwin""",,1,True
www.youtube.com,channel=@CityofBangorMI,us:place:2605140,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bangor-city-mi-2026-08-18-08-17-26-regular-city-council-meeting; owner title ""Official City of Bangor, MI""",,1,True
www.youtube.com,channel=@CityofBellevueID,us:place:1606220,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bellevue-id-2026-09-04-city-of-bellevue-idaho-planning-zoning-commission-august; owner title ""City of Bellevue, Idaho""",,1,True
www.youtube.com,channel=@CityofBerkley,us:place:2607660,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/berkley-mi-2021-08-10-berkley-city-council-meeting-august-9-2021; owner title ""City of Berkley""",Berkley city,1,True
www.youtube.com,channel=@CityofBicknell,us:place:1805176,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bicknell-in-2026-05-13-council-5-12-2026; owner title ""City of Bicknell""",,1,True
www.youtube.com,channel=@CityofBigBearLakeCA,us:place:0606434,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/big-bear-lake-ca-2026-07-17-fire-authority-meeting-07-14-2026; owner title ""City of Big Bear Lake, CA""",,1,True
www.youtube.com,channel=@CityofBigRapids,us:place:2608300,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/big-rapids-mi-2026-09-01-zoning-board-of-appeals-meeting-8-27-2026; owner title ""City of Big Rapids""",,1,True
www.youtube.com,channel=@CityofBiwabik,us:place:2706148,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/biwabik-city-mn-2025-04-16-biwabik-city-council-april-13th-2025; owner title ""City of Biwabik""",,1,True
www.youtube.com,channel=@CityofBloomfieldHillsMI,us:place:2609180,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bloomfield-hills-mi-2026-08-12-bloomfield-hills-commission-meeting-on-august-11; owner title ""City of Bloomfield Hills""",,1,True
