tenant_host,match,study_gov_id,study_gov_name,existing_pin_gov_id,solid_pages
www.youtube.com,channel=@pricecountywigovernment,us:county:55099,,us:county:55099,1
www.youtube.com,channel=@putnamcountygov,us:county:36079,,us:county:36079,1
www.youtube.com,channel=@russellcountyvirginia8228,us:county:51167,,us:county:51167,1
www.youtube.com,channel=@stannmo7111,us:place:2963956,,us:place:2963956,1
www.youtube.com,channel=@summittownshiperiecountypa934,us:cousub:4204975208,,us:cousub:4204975208,1
www.youtube.com,channel=@thecityofharvey,us:place:1733383,,us:place:1733383,1
www.youtube.com,channel=@townmeetingtv,us:place:5066175,,us:place:5010675,1
www.youtube.com,channel=@townofbluffton1903,us:place:4507210,Bluffton town,us:place:4507210,1
www.youtube.com,channel=@townoffranklinma104,us:place:2525172,,us:place:2525172,1
www.youtube.com,channel=@townofrichlandsvirginia2118,us:place:5166928,,us:place:5166928,1
www.youtube.com,channel=@townofsmyrnadelaware9431,us:place:1067310,Smyrna town,us:place:1067310,1
www.youtube.com,channel=@townofsunsetbeach640,us:place:3765900,,us:place:3765900,1
www.youtube.com,channel=@townsummsc1149,us:place:4570270,,us:place:4570270,1
www.youtube.com,channel=@ulctTube,us:place:4937924,,us:county:49049,1
www.youtube.com,channel=@vaderwa,us:place:5373780,,us:place:5373780,1
www.youtube.com,channel=@villageofchathamil1034,us:place:1712684,,us:place:1712684,1
www.youtube.com,channel=@westhaven9494,us:place:0982800,,us:place:0982800,1
